trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00386_1000,0.0,0.5,0.5,True,,0.886,0.881,0.646,4.365,0.198,trial_results/timeseries/world_1_TD3_00386_1000_trial000.json,2026-08-31T00:28:43.057211
1,world_1,DRL,TD3_00386_1000,0.0,1.0,1.0,False,"Obstacle hit, mission aborted.",0.797,0.787,1.323,2.996,0.633,trial_results/timeseries/world_1_TD3_00386_1000_trial001.json,2026-08-31T00:28:50.311682
2,world_1,DRL,TD3_00386_1000,0.0,1.5,1.5,True,,4.511,4.5,0.238,12.239,0.197,trial_results/timeseries/world_1_TD3_00386_1000_trial002.json,2026-08-31T00:29:06.806259
3,world_1,DRL,TD3_00386_1000,0.0,2.0,2.0,True,,4.55,4.539,0.237,10.074,0.194,trial_results/timeseries/world_1_TD3_00386_1000_trial003.json,2026-08-31T00:29:21.196830
4,world_1,DRL,TD3_00386_1000,0.0,2.5,2.5,True,,4.736,4.726,0.227,9.849,0.192,trial_results/timeseries/world_1_TD3_00386_1000_trial004.json,2026-08-30T15:18:49.630553
5,world_1,DRL,TD3_00386_1000,0.0,4.0,4.0,False,Goal timeout after 90.0s,4.533,4.532,0.018,90.013,1.54,trial_results/timeseries/world_1_TD3_00386_1000_trial005.json,2026-08-30T15:20:24.006585
6,world_1,DRL,TD3_00386_1000,0.0,5.5,5.5,False,Goal timeout after 90.0s,6.288,6.287,0.004,90.015,1.427,trial_results/timeseries/world_1_TD3_00386_1000_trial006.json,2026-08-30T15:21:58.349602
7,world_1,DRL,TD3_00386_1000,0.0,6.0,6.0,True,,8.419,8.408,0.128,17.885,0.192,trial_results/timeseries/world_1_TD3_00386_1000_trial007.json,2026-08-30T15:22:20.573548
8,world_1,DRL,TD3_00386_1000,0.5,0.5,0.707,True,,0.691,0.683,1.076,2.773,0.199,trial_results/timeseries/world_1_TD3_00386_1000_trial008.json,2026-08-30T15:22:27.621669
9,world_1,DRL,TD3_00386_1000,0.5,1.5,1.581,True,,4.218,4.213,0.118,11.144,0.199,trial_results/timeseries/world_1_TD3_00386_1000_trial009.json,2026-08-30T15:22:43.022765
10,world_1,DRL,TD3_00386_1000,0.5,2.0,2.062,True,,4.046,4.035,0.268,8.722,0.2,trial_results/timeseries/world_1_TD3_00386_1000_trial010.json,2026-08-30T15:22:57.008376
11,world_1,DRL,TD3_00386_1000,0.5,2.5,2.55,True,,4.337,4.327,0.248,9.082,0.194,trial_results/timeseries/world_1_TD3_00386_1000_trial011.json,2026-08-30T15:23:10.354993
12,world_1,DRL,TD3_00386_1000,0.5,3.0,3.041,True,,4.721,4.71,0.228,9.644,0.198,trial_results/timeseries/world_1_TD3_00386_1000_trial012.json,2026-08-30T15:23:24.262342
13,world_1,DRL,TD3_00386_1000,0.5,3.5,3.536,False,Goal timeout after 90.0s,4.635,4.635,0.003,90.008,0.766,trial_results/timeseries/world_1_TD3_00386_1000_trial013.json,2026-08-30T15:24:58.588452
14,world_1,DRL,TD3_00386_1000,0.5,4.0,4.031,True,,5.619,5.608,0.191,11.01,0.195,trial_results/timeseries/world_1_TD3_00386_1000_trial014.json,2026-08-30T15:25:13.919947
15,world_1,DRL,TD3_00386_1000,0.5,5.5,5.523,False,Goal timeout after 90.0s,6.122,6.121,0.006,90.015,1.36,trial_results/timeseries/world_1_TD3_00386_1000_trial015.json,2026-08-30T15:26:49.400297
16,world_1,DRL,TD3_00386_1000,0.5,6.0,6.021,True,,7.851,7.84,0.137,15.489,0.197,trial_results/timeseries/world_1_TD3_00386_1000_trial016.json,2026-08-30T15:27:09.212598
17,world_1,DRL,TD3_00386_1000,1.0,0.0,1.0,True,,0.806,0.795,1.335,1.711,0.195,trial_results/timeseries/world_1_TD3_00386_1000_trial017.json,2026-08-30T15:27:15.190714
18,world_1,DRL,TD3_00386_1000,1.0,0.5,1.118,True,,0.992,0.989,0.351,2.373,0.198,trial_results/timeseries/world_1_TD3_00386_1000_trial018.json,2026-08-30T15:27:21.821520
19,world_1,DRL,TD3_00386_1000,1.0,1.5,1.803,True,,13.656,13.654,0.017,39.412,0.2,trial_results/timeseries/world_1_TD3_00386_1000_trial019.json,2026-08-30T15:28:05.557187
20,world_1,DRL,TD3_00386_1000,1.0,2.0,2.236,True,,3.572,3.561,0.302,8.038,0.193,trial_results/timeseries/world_1_TD3_00386_1000_trial020.json,2026-08-30T15:28:17.878048
21,world_1,DRL,TD3_00386_1000,1.0,2.5,2.693,True,,4.005,3.994,0.27,8.457,0.198,trial_results/timeseries/world_1_TD3_00386_1000_trial021.json,2026-08-30T15:28:30.573582
22,world_1,DRL,TD3_00386_1000,1.0,3.0,3.162,True,,4.475,4.465,0.242,9.163,0.194,trial_results/timeseries/world_1_TD3_00386_1000_trial022.json,2026-08-30T15:28:43.995910
23,world_1,DRL,TD3_00386_1000,1.0,3.5,3.64,True,,4.983,4.972,0.217,10.006,0.2,trial_results/timeseries/world_1_TD3_00386_1000_trial023.json,2026-08-30T15:28:58.261512
24,world_1,DRL,TD3_00386_1000,1.0,4.0,4.123,True,,5.477,5.466,0.197,10.789,0.191,trial_results/timeseries/world_1_TD3_00386_1000_trial024.json,2026-08-30T15:29:13.314577
25,world_1,DRL,TD3_00386_1000,1.0,4.5,4.61,True,,5.961,5.95,0.181,11.593,0.197,trial_results/timeseries/world_1_TD3_00386_1000_trial025.json,2026-08-30T15:29:30.184527
26,world_1,DRL,TD3_00386_1000,1.0,5.0,5.099,True,,6.482,6.471,0.166,12.518,0.19,trial_results/timeseries/world_1_TD3_00386_1000_trial026.json,2026-08-30T15:29:46.971967
27,world_1,DRL,TD3_00386_1000,1.0,5.5,5.59,True,,7.013,7.002,0.154,13.523,0.19,trial_results/timeseries/world_1_TD3_00386_1000_trial027.json,2026-08-30T15:30:04.705268
28,world_1,DRL,TD3_00386_1000,1.0,6.0,6.083,True,,7.537,7.526,0.143,14.405,0.198,trial_results/timeseries/world_1_TD3_00386_1000_trial028.json,2026-08-30T15:30:23.375289
29,world_1,DRL,TD3_00386_1000,1.5,0.0,1.5,True,,1.309,1.298,0.823,2.635,0.192,trial_results/timeseries/world_1_TD3_00386_1000_trial029.json,2026-08-30T15:30:30.273837
30,world_1,DRL,TD3_00386_1000,1.5,0.5,1.581,True,,1.41,1.399,0.761,2.876,0.197,trial_results/timeseries/world_1_TD3_00386_1000_trial030.json,2026-08-30T15:30:38.406613
31,world_1,DRL,TD3_00386_1000,1.5,1.0,1.803,True,,2.13,2.124,0.306,6.009,0.198,trial_results/timeseries/world_1_TD3_00386_1000_trial031.json,2026-08-30T15:30:48.743112
