trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00381_900,0.0,0.5,0.5,True,,0.508,0.505,0.407,3.339,0.2,trial_results/timeseries/world_1_TD3_00381_900_trial000.json,2026-09-01T20:30:14.037477
1,world_1,DRL,TD3_00381_900,0.0,1.0,1.0,False,"Obstacle hit, mission aborted.",1.153,1.132,1.885,6.612,0.592,trial_results/timeseries/world_1_TD3_00381_900_trial001.json,2026-09-01T20:30:26.066125
2,world_1,DRL,TD3_00381_900,0.0,1.5,1.5,True,,1.794,1.783,0.599,5.49,0.181,trial_results/timeseries/world_1_TD3_00381_900_trial002.json,2026-09-01T20:30:36.264759
3,world_1,DRL,TD3_00381_900,0.0,2.0,2.0,True,,4.045,4.034,0.266,14.991,0.195,trial_results/timeseries/world_1_TD3_00381_900_trial003.json,2026-09-01T20:30:55.572222
4,world_1,DRL,TD3_00381_900,0.0,2.5,2.5,True,,4.393,4.382,0.24,9.228,0.198,trial_results/timeseries/world_1_TD3_00381_900_trial004.json,2026-09-01T20:31:09.266168
5,world_1,DRL,TD3_00381_900,0.0,4.0,4.0,True,,5.98,5.969,0.184,11.314,0.199,trial_results/timeseries/world_1_TD3_00381_900_trial005.json,2026-09-01T20:31:26.097599
6,world_1,DRL,TD3_00381_900,0.0,5.5,5.5,False,"Obstacle hit, mission aborted.",6.217,6.208,0.146,12.637,1.327,trial_results/timeseries/world_1_TD3_00381_900_trial006.json,2026-09-01T20:31:43.254936
7,world_1,DRL,TD3_00381_900,0.0,6.0,6.0,True,,8.201,8.19,0.133,15.417,0.197,trial_results/timeseries/world_1_TD3_00381_900_trial007.json,2026-09-01T20:32:03.449574
8,world_1,DRL,TD3_00381_900,0.5,0.5,0.707,True,,0.669,0.668,0.208,2.757,0.2,trial_results/timeseries/world_1_TD3_00381_900_trial008.json,2026-09-01T20:32:10.471115
9,world_1,DRL,TD3_00381_900,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",0.81,0.799,1.341,3.52,1.016,trial_results/timeseries/world_1_TD3_00381_900_trial009.json,2026-09-01T20:32:18.602574
10,world_1,DRL,TD3_00381_900,0.5,2.0,2.062,True,,3.642,3.631,0.304,15.137,0.198,trial_results/timeseries/world_1_TD3_00381_900_trial010.json,2026-09-01T20:32:39.258008
11,world_1,DRL,TD3_00381_900,0.5,2.5,2.55,True,,4.049,4.038,0.273,10.028,0.19,trial_results/timeseries/world_1_TD3_00381_900_trial011.json,2026-09-01T20:32:53.857973
