trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00377_900,0.0,0.5,0.5,True,,0.637,0.635,0.456,4.042,0.2,trial_results/timeseries/world_1_TD3_00377_900_trial000.json,2026-09-01T15:40:08.689534
1,world_1,DRL,TD3_00377_900,0.0,1.0,1.0,True,,1.043,1.032,1.023,3.239,0.195,trial_results/timeseries/world_1_TD3_00377_900_trial001.json,2026-09-01T15:40:16.738691
2,world_1,DRL,TD3_00377_900,0.0,1.5,1.5,True,,1.512,1.49,1.424,4.325,0.18,trial_results/timeseries/world_1_TD3_00377_900_trial002.json,2026-09-01T15:40:25.672325
3,world_1,DRL,TD3_00377_900,0.0,2.0,2.0,True,,2.371,2.36,0.447,7.484,0.18,trial_results/timeseries/world_1_TD3_00377_900_trial003.json,2026-09-01T15:40:38.672055
4,world_1,DRL,TD3_00377_900,0.0,2.5,2.5,True,,4.511,4.49,0.477,11.426,0.185,trial_results/timeseries/world_1_TD3_00377_900_trial004.json,2026-09-01T15:40:54.417145
5,world_1,DRL,TD3_00377_900,0.0,4.0,4.0,True,,4.809,4.8,0.196,24.463,0.196,trial_results/timeseries/world_1_TD3_00377_900_trial005.json,2026-09-01T15:41:24.253366
6,world_1,DRL,TD3_00377_900,0.0,5.5,5.5,True,,6.029,6.018,0.187,26.431,0.187,trial_results/timeseries/world_1_TD3_00377_900_trial006.json,2026-09-01T15:41:56.210328
7,world_1,DRL,TD3_00377_900,0.0,6.0,6.0,True,,6.47,6.459,0.165,20.84,0.198,trial_results/timeseries/world_1_TD3_00377_900_trial007.json,2026-09-01T15:42:21.826223
8,world_1,DRL,TD3_00377_900,0.5,0.5,0.707,True,,0.746,0.735,1.424,3.641,0.196,trial_results/timeseries/world_1_TD3_00377_900_trial008.json,2026-09-01T15:42:29.734816
9,world_1,DRL,TD3_00377_900,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",0.862,0.856,0.651,4.044,0.886,trial_results/timeseries/world_1_TD3_00377_900_trial009.json,2026-09-01T15:42:38.037399
10,world_1,DRL,TD3_00377_900,0.5,2.0,2.062,True,,3.972,3.962,0.269,13.673,0.191,trial_results/timeseries/world_1_TD3_00377_900_trial010.json,2026-09-01T15:42:56.216846
11,world_1,DRL,TD3_00377_900,0.5,2.5,2.55,True,,4.151,4.14,0.266,10.17,0.198,trial_results/timeseries/world_1_TD3_00377_900_trial011.json,2026-09-01T15:43:10.764561
12,world_1,DRL,TD3_00377_900,0.5,3.0,3.041,True,,4.592,4.581,0.241,10.712,0.193,trial_results/timeseries/world_1_TD3_00377_900_trial012.json,2026-09-01T15:43:25.995830
13,world_1,DRL,TD3_00377_900,0.5,3.5,3.536,True,,5.309,5.299,0.202,13.749,0.197,trial_results/timeseries/world_1_TD3_00377_900_trial013.json,2026-09-01T15:43:44.016340
14,world_1,DRL,TD3_00377_900,0.5,4.0,4.031,True,,5.555,5.544,0.198,13.405,0.193,trial_results/timeseries/world_1_TD3_00377_900_trial014.json,2026-09-01T15:44:02.691124
15,world_1,DRL,TD3_00377_900,0.5,5.5,5.523,True,,6.863,6.856,0.104,25.125,0.2,trial_results/timeseries/world_1_TD3_00377_900_trial015.json,2026-09-01T15:44:33.082654
16,world_1,DRL,TD3_00377_900,0.5,6.0,6.021,True,,7.016,7.005,0.158,26.758,0.198,trial_results/timeseries/world_1_TD3_00377_900_trial016.json,2026-09-01T15:45:04.112093
17,world_1,DRL,TD3_00377_900,1.0,0.0,1.0,True,,0.812,0.802,1.336,1.572,0.191,trial_results/timeseries/world_1_TD3_00377_900_trial017.json,2026-09-01T15:45:10.293786
18,world_1,DRL,TD3_00377_900,1.0,0.5,1.118,True,,0.968,0.957,1.102,1.871,0.196,trial_results/timeseries/world_1_TD3_00377_900_trial018.json,2026-09-01T15:45:16.685480
19,world_1,DRL,TD3_00377_900,1.0,1.5,1.803,True,,3.016,3.005,0.358,10.917,0.191,trial_results/timeseries/world_1_TD3_00377_900_trial019.json,2026-09-01T15:45:31.862628
20,world_1,DRL,TD3_00377_900,1.0,2.0,2.236,True,,3.42,3.409,0.315,8.187,0.198,trial_results/timeseries/world_1_TD3_00377_900_trial020.json,2026-09-01T15:45:45.314954
21,world_1,DRL,TD3_00377_900,1.0,2.5,2.693,True,,3.981,3.97,0.273,10.894,0.199,trial_results/timeseries/world_1_TD3_00377_900_trial021.json,2026-09-01T15:46:02.477438
