trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00384_500,0.0,0.5,0.5,True,,0.56,0.554,1.082,3.017,0.199,trial_results/timeseries/world_1_TD3_00384_500_trial000.json,2026-08-26T23:30:25.441862
1,world_1,DRL,TD3_00384_500,0.0,1.0,1.0,True,,1.054,1.043,1.012,3.419,0.195,trial_results/timeseries/world_1_TD3_00384_500_trial001.json,2026-08-26T23:30:33.117483
2,world_1,DRL,TD3_00384_500,0.0,1.5,1.5,True,,1.533,1.523,0.703,4.325,0.191,trial_results/timeseries/world_1_TD3_00384_500_trial002.json,2026-08-26T23:30:42.902103
3,world_1,DRL,TD3_00384_500,0.0,2.0,2.0,True,,2.123,2.112,0.51,5.692,0.197,trial_results/timeseries/world_1_TD3_00384_500_trial003.json,2026-08-26T23:30:52.855667
4,world_1,DRL,TD3_00384_500,0.0,2.5,2.5,True,,2.712,2.701,0.399,6.916,0.196,trial_results/timeseries/world_1_TD3_00384_500_trial004.json,2026-08-26T23:31:04.029915
5,world_1,DRL,TD3_00384_500,0.0,4.0,4.0,True,,4.608,4.6,0.159,11.174,0.197,trial_results/timeseries/world_1_TD3_00384_500_trial005.json,2026-08-26T23:31:20.504378
6,world_1,DRL,TD3_00384_500,0.0,5.5,5.5,True,,6.186,6.175,0.173,14.067,0.196,trial_results/timeseries/world_1_TD3_00384_500_trial006.json,2026-08-26T23:31:38.840129
7,world_1,DRL,TD3_00384_500,0.0,6.0,6.0,True,,8.464,8.454,0.128,18.749,0.193,trial_results/timeseries/world_1_TD3_00384_500_trial007.json,2026-08-26T23:32:02.103787
8,world_1,DRL,TD3_00384_500,0.5,0.5,0.707,True,,0.612,0.606,1.088,3.538,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial008.json,2026-08-26T23:32:09.914948
9,world_1,DRL,TD3_00384_500,0.5,1.5,1.581,True,,3.95,3.945,0.108,14.248,0.199,trial_results/timeseries/world_1_TD3_00384_500_trial009.json,2026-08-26T23:32:28.483388
10,world_1,DRL,TD3_00384_500,0.5,2.0,2.062,True,,2.459,2.448,0.44,7.196,0.19,trial_results/timeseries/world_1_TD3_00384_500_trial010.json,2026-08-26T23:32:40.951441
11,world_1,DRL,TD3_00384_500,0.5,2.5,2.55,True,,2.941,2.93,0.37,7.8,0.195,trial_results/timeseries/world_1_TD3_00384_500_trial011.json,2026-08-26T23:32:53.016577
12,world_1,DRL,TD3_00384_500,0.5,3.0,3.041,True,,3.517,3.506,0.314,8.741,0.197,trial_results/timeseries/world_1_TD3_00384_500_trial012.json,2026-08-26T23:33:06.303271
13,world_1,DRL,TD3_00384_500,0.5,3.5,3.536,True,,5.012,5.003,0.163,14.931,0.196,trial_results/timeseries/world_1_TD3_00384_500_trial013.json,2026-08-26T23:33:26.500991
14,world_1,DRL,TD3_00384_500,0.5,4.0,4.031,True,,5.584,5.58,0.077,13.485,0.199,trial_results/timeseries/world_1_TD3_00384_500_trial014.json,2026-08-26T23:33:44.263420
15,world_1,DRL,TD3_00384_500,0.5,5.5,5.523,True,,7.255,7.244,0.149,15.31,0.197,trial_results/timeseries/world_1_TD3_00384_500_trial015.json,2026-08-26T23:34:04.844263
16,world_1,DRL,TD3_00384_500,0.5,6.0,6.021,True,,7.633,7.622,0.141,14.911,0.198,trial_results/timeseries/world_1_TD3_00384_500_trial016.json,2026-08-26T23:34:25.023498
17,world_1,DRL,TD3_00384_500,1.0,0.0,1.0,True,,0.805,0.794,1.341,1.712,0.197,trial_results/timeseries/world_1_TD3_00384_500_trial017.json,2026-08-26T23:34:31.002004
18,world_1,DRL,TD3_00384_500,1.0,0.5,1.118,True,,1.009,0.998,1.053,2.133,0.2,trial_results/timeseries/world_1_TD3_00384_500_trial018.json,2026-08-26T23:34:38.403123
19,world_1,DRL,TD3_00384_500,1.0,1.5,1.803,True,,3.497,3.492,0.156,10.59,0.2,trial_results/timeseries/world_1_TD3_00384_500_trial019.json,2026-08-26T23:34:53.300173
20,world_1,DRL,TD3_00384_500,1.0,2.0,2.236,True,,3.422,3.411,0.314,8.002,0.191,trial_results/timeseries/world_1_TD3_00384_500_trial020.json,2026-08-26T23:35:05.563406
21,world_1,DRL,TD3_00384_500,1.0,2.5,2.693,True,,3.882,3.871,0.278,9.91,0.195,trial_results/timeseries/world_1_TD3_00384_500_trial021.json,2026-08-26T23:35:19.734047
22,world_1,DRL,TD3_00384_500,1.0,3.0,3.162,True,,4.351,4.34,0.249,10.492,0.192,trial_results/timeseries/world_1_TD3_00384_500_trial022.json,2026-08-26T23:35:35.498193
23,world_1,DRL,TD3_00384_500,1.0,3.5,3.64,True,,4.816,4.805,0.224,11.011,0.192,trial_results/timeseries/world_1_TD3_00384_500_trial023.json,2026-08-26T23:35:50.776742
24,world_1,DRL,TD3_00384_500,1.0,4.0,4.123,True,,5.357,5.346,0.202,12.26,0.191,trial_results/timeseries/world_1_TD3_00384_500_trial024.json,2026-08-26T23:36:07.303866
25,world_1,DRL,TD3_00384_500,1.0,4.5,4.61,True,,5.895,5.884,0.183,12.296,0.191,trial_results/timeseries/world_1_TD3_00384_500_trial025.json,2026-08-26T23:36:23.869608
26,world_1,DRL,TD3_00384_500,1.0,5.0,5.099,True,,6.451,6.44,0.167,13.182,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial026.json,2026-08-26T23:36:41.366476
27,world_1,DRL,TD3_00384_500,1.0,5.5,5.59,True,,7.02,7.01,0.153,14.395,0.198,trial_results/timeseries/world_1_TD3_00384_500_trial027.json,2026-08-26T23:37:00.283966
28,world_1,DRL,TD3_00384_500,1.0,6.0,6.083,True,,7.482,7.471,0.144,14.994,0.199,trial_results/timeseries/world_1_TD3_00384_500_trial028.json,2026-08-26T23:37:19.547477
29,world_1,DRL,TD3_00384_500,1.5,0.0,1.5,True,,1.308,1.297,0.823,2.635,0.198,trial_results/timeseries/world_1_TD3_00384_500_trial029.json,2026-08-26T23:37:26.447140
30,world_1,DRL,TD3_00384_500,1.5,0.5,1.581,True,,1.408,1.397,0.764,2.857,0.192,trial_results/timeseries/world_1_TD3_00384_500_trial030.json,2026-08-26T23:37:34.559235
31,world_1,DRL,TD3_00384_500,1.5,1.0,1.803,True,,1.774,1.763,0.623,3.539,0.196,trial_results/timeseries/world_1_TD3_00384_500_trial031.json,2026-08-26T23:37:42.606380
32,world_1,DRL,TD3_00384_500,1.5,1.5,2.121,True,,2.628,2.618,0.387,5.129,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial032.json,2026-08-26T23:37:51.991445
33,world_1,DRL,TD3_00384_500,1.5,2.0,2.5,True,,3.275,3.265,0.329,6.734,0.2,trial_results/timeseries/world_1_TD3_00384_500_trial033.json,2026-08-26T23:38:02.981657
34,world_1,DRL,TD3_00384_500,1.5,2.5,2.915,True,,3.751,3.74,0.287,7.579,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial034.json,2026-08-26T23:38:14.871319
35,world_1,DRL,TD3_00384_500,1.5,3.0,3.354,True,,4.507,4.505,0.057,9.789,0.199,trial_results/timeseries/world_1_TD3_00384_500_trial035.json,2026-08-26T23:38:29.227334
36,world_1,DRL,TD3_00384_500,1.5,3.5,3.808,True,,5.171,5.16,0.208,11.474,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial036.json,2026-08-26T23:38:45.213811
37,world_1,DRL,TD3_00384_500,1.5,4.0,4.272,True,,5.655,5.644,0.193,12.479,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial037.json,2026-08-26T23:39:01.954319
38,world_1,DRL,TD3_00384_500,1.5,4.5,4.743,True,,6.13,6.119,0.177,13.385,0.196,trial_results/timeseries/world_1_TD3_00384_500_trial038.json,2026-08-26T23:39:20.607669
39,world_1,DRL,TD3_00384_500,1.5,5.0,5.22,True,,6.61,6.599,0.163,14.188,0.194,trial_results/timeseries/world_1_TD3_00384_500_trial039.json,2026-08-26T23:39:39.057550
40,world_1,DRL,TD3_00384_500,1.5,5.5,5.701,True,,7.116,7.106,0.152,15.213,0.183,trial_results/timeseries/world_1_TD3_00384_500_trial040.json,2026-08-26T23:39:59.539610
41,world_1,DRL,TD3_00384_500,1.5,6.0,6.185,True,,8.191,8.18,0.132,18.154,0.193,trial_results/timeseries/world_1_TD3_00384_500_trial041.json,2026-08-26T23:40:21.957287
42,world_1,DRL,TD3_00384_500,2.0,0.0,2.0,True,,1.816,1.805,0.591,3.6,0.192,trial_results/timeseries/world_1_TD3_00384_500_trial042.json,2026-08-26T23:40:30.826301
43,world_1,DRL,TD3_00384_500,2.0,0.5,2.062,True,,1.87,1.859,0.572,3.7,0.2,trial_results/timeseries/world_1_TD3_00384_500_trial043.json,2026-08-26T23:40:39.789785
44,world_1,DRL,TD3_00384_500,2.0,1.0,2.236,True,,2.102,2.092,0.511,4.142,0.19,trial_results/timeseries/world_1_TD3_00384_500_trial044.json,2026-08-26T23:40:50.191681
45,world_1,DRL,TD3_00384_500,2.0,1.5,2.5,True,,2.486,2.465,0.873,4.87,0.179,trial_results/timeseries/world_1_TD3_00384_500_trial045.json,2026-08-26T23:40:59.684336
46,world_1,DRL,TD3_00384_500,2.0,2.0,2.828,True,,3.281,3.271,0.286,6.433,0.197,trial_results/timeseries/world_1_TD3_00384_500_trial046.json,2026-08-26T23:41:11.581558
47,world_1,DRL,TD3_00384_500,2.0,3.5,4.031,True,,5.824,5.802,0.379,13.748,0.19,trial_results/timeseries/world_1_TD3_00384_500_trial047.json,2026-08-26T23:41:30.593653
48,world_1,DRL,TD3_00384_500,2.0,4.0,4.472,True,,6.161,6.15,0.176,14.351,0.192,trial_results/timeseries/world_1_TD3_00384_500_trial048.json,2026-08-26T23:41:49.418148
