trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00399_1000,0.0,0.5,0.5,True,,0.839,0.837,0.194,6.533,0.2,trial_results/timeseries/world_1_TD3_00399_1000_trial000.json,2026-09-10T16:35:10.410034
1,world_1,DRL,TD3_00399_1000,0.0,1.0,1.0,False,"Obstacle hit, mission aborted.",0.805,0.795,1.31,4.645,0.597,trial_results/timeseries/world_1_TD3_00399_1000_trial001.json,2026-09-10T16:35:19.329857
2,world_1,DRL,TD3_00399_1000,0.0,1.5,1.5,False,"Obstacle hit, mission aborted.",0.77,0.759,1.392,3.781,1.037,trial_results/timeseries/world_1_TD3_00399_1000_trial002.json,2026-09-10T16:35:27.639454
3,world_1,DRL,TD3_00399_1000,0.0,2.0,2.0,False,"Obstacle hit, mission aborted.",0.877,0.866,1.201,3.662,1.382,trial_results/timeseries/world_1_TD3_00399_1000_trial003.json,2026-09-10T16:35:36.565402
4,world_1,DRL,TD3_00399_1000,0.0,2.5,2.5,True,,2.791,2.78,0.388,7.36,0.193,trial_results/timeseries/world_1_TD3_00399_1000_trial004.json,2026-09-10T16:35:48.186864
5,world_1,DRL,TD3_00399_1000,0.0,4.0,4.0,True,,5.932,5.921,0.187,13.076,0.192,trial_results/timeseries/world_1_TD3_00399_1000_trial005.json,2026-09-10T16:36:06.139686
6,world_1,DRL,TD3_00399_1000,0.0,5.5,5.5,True,,8.017,8.006,0.134,17.528,0.198,trial_results/timeseries/world_1_TD3_00399_1000_trial006.json,2026-09-10T16:36:28.234410
7,world_1,DRL,TD3_00399_1000,0.0,6.0,6.0,True,,8.562,8.54,0.252,17.507,0.185,trial_results/timeseries/world_1_TD3_00399_1000_trial007.json,2026-09-10T16:36:51.039122
8,world_1,DRL,TD3_00399_1000,0.5,0.5,0.707,True,,0.732,0.731,0.174,2.798,0.2,trial_results/timeseries/world_1_TD3_00399_1000_trial008.json,2026-09-10T16:36:58.156670
9,world_1,DRL,TD3_00399_1000,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",0.757,0.748,1.238,3.239,1.022,trial_results/timeseries/world_1_TD3_00399_1000_trial009.json,2026-09-10T16:37:06.704572
10,world_1,DRL,TD3_00399_1000,0.5,2.0,2.062,True,,2.799,2.788,0.381,9.127,0.189,trial_results/timeseries/world_1_TD3_00399_1000_trial010.json,2026-09-10T16:37:20.388278
11,world_1,DRL,TD3_00399_1000,0.5,2.5,2.55,True,,4.328,4.317,0.249,12.864,0.194,trial_results/timeseries/world_1_TD3_00399_1000_trial011.json,2026-09-10T16:37:37.770639
12,world_1,DRL,TD3_00399_1000,0.5,3.0,3.041,True,,4.735,4.726,0.184,9.852,0.198,trial_results/timeseries/world_1_TD3_00399_1000_trial012.json,2026-09-10T16:37:52.244359
13,world_1,DRL,TD3_00399_1000,0.5,3.5,3.536,True,,5.134,5.123,0.209,11.481,0.194,trial_results/timeseries/world_1_TD3_00399_1000_trial013.json,2026-09-10T16:38:10.058549
14,world_1,DRL,TD3_00399_1000,0.5,4.0,4.031,True,,5.562,5.552,0.193,11.335,0.192,trial_results/timeseries/world_1_TD3_00399_1000_trial014.json,2026-09-10T16:38:25.912489
15,world_1,DRL,TD3_00399_1000,0.5,5.5,5.523,True,,7.781,7.777,0.048,18.29,0.2,trial_results/timeseries/world_1_TD3_00399_1000_trial015.json,2026-09-10T16:38:49.470771
16,world_1,DRL,TD3_00399_1000,0.5,6.0,6.021,True,,8.833,8.827,0.069,23.113,0.2,trial_results/timeseries/world_1_TD3_00399_1000_trial016.json,2026-09-10T16:39:16.857533
17,world_1,DRL,TD3_00399_1000,1.0,0.0,1.0,True,,0.817,0.806,1.332,1.572,0.196,trial_results/timeseries/world_1_TD3_00399_1000_trial017.json,2026-09-10T16:39:22.950583
18,world_1,DRL,TD3_00399_1000,1.0,0.5,1.118,True,,0.971,0.96,1.088,1.876,0.185,trial_results/timeseries/world_1_TD3_00399_1000_trial018.json,2026-09-10T16:39:30.085010
