trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00397_1000,0.0,0.5,0.5,True,,0.503,0.498,1.176,2.935,0.198,trial_results/timeseries/world_1_TD3_00397_1000_trial000.json,2026-09-09T11:17:10.482224
1,world_1,DRL,TD3_00397_1000,0.0,1.0,1.0,True,,0.948,0.926,2.321,3.478,0.186,trial_results/timeseries/world_1_TD3_00397_1000_trial001.json,2026-09-09T11:17:18.221160
2,world_1,DRL,TD3_00397_1000,0.0,1.5,1.5,True,,1.435,1.424,0.744,4.645,0.193,trial_results/timeseries/world_1_TD3_00397_1000_trial002.json,2026-09-09T11:17:27.329320
3,world_1,DRL,TD3_00397_1000,0.0,2.0,2.0,True,,1.953,1.942,0.551,5.41,0.181,trial_results/timeseries/world_1_TD3_00397_1000_trial003.json,2026-09-09T11:17:37.046857
4,world_1,DRL,TD3_00397_1000,0.0,2.5,2.5,True,,2.48,2.469,0.44,6.293,0.18,trial_results/timeseries/world_1_TD3_00397_1000_trial004.json,2026-09-09T11:17:47.600416
5,world_1,DRL,TD3_00397_1000,0.0,4.0,4.0,True,,4.551,4.54,0.239,11.938,0.194,trial_results/timeseries/world_1_TD3_00397_1000_trial005.json,2026-09-09T11:18:04.100571
6,world_1,DRL,TD3_00397_1000,0.0,5.5,5.5,True,,5.819,5.808,0.184,12.486,0.197,trial_results/timeseries/world_1_TD3_00397_1000_trial006.json,2026-09-09T11:18:21.860485
7,world_1,DRL,TD3_00397_1000,0.0,6.0,6.0,True,,6.314,6.303,0.17,13.811,0.191,trial_results/timeseries/world_1_TD3_00397_1000_trial007.json,2026-09-09T11:18:40.344659
8,world_1,DRL,TD3_00397_1000,0.5,0.5,0.707,True,,0.59,0.58,1.845,1.673,0.196,trial_results/timeseries/world_1_TD3_00397_1000_trial008.json,2026-09-09T11:18:46.499423
9,world_1,DRL,TD3_00397_1000,0.5,1.5,1.581,True,,13.425,13.413,0.087,87.051,0.198,trial_results/timeseries/world_1_TD3_00397_1000_trial009.json,2026-09-09T11:20:17.811854
10,world_1,DRL,TD3_00397_1000,0.5,2.0,2.062,True,,2.19,2.179,0.495,6.252,0.199,trial_results/timeseries/world_1_TD3_00397_1000_trial010.json,2026-09-09T11:20:29.382697
11,world_1,DRL,TD3_00397_1000,0.5,2.5,2.55,True,,2.549,2.538,0.424,6.575,0.192,trial_results/timeseries/world_1_TD3_00397_1000_trial011.json,2026-09-09T11:20:40.474082
12,world_1,DRL,TD3_00397_1000,0.5,3.0,3.041,True,,3.072,3.061,0.36,7.501,0.198,trial_results/timeseries/world_1_TD3_00397_1000_trial012.json,2026-09-09T11:20:52.238868
13,world_1,DRL,TD3_00397_1000,0.5,3.5,3.536,False,"Obstacle hit, mission aborted.",3.134,3.127,0.213,9.308,0.65,trial_results/timeseries/world_1_TD3_00397_1000_trial013.json,2026-09-09T11:21:06.024392
14,world_1,DRL,TD3_00397_1000,0.5,4.0,4.031,True,,4.183,4.172,0.254,10.795,0.19,trial_results/timeseries/world_1_TD3_00397_1000_trial014.json,2026-09-09T11:21:22.082092
15,world_1,DRL,TD3_00397_1000,0.5,5.5,5.523,True,,6.758,6.753,0.073,17.789,0.2,trial_results/timeseries/world_1_TD3_00397_1000_trial015.json,2026-09-09T11:21:45.139416
16,world_1,DRL,TD3_00397_1000,0.5,6.0,6.021,True,,6.602,6.591,0.164,14.211,0.198,trial_results/timeseries/world_1_TD3_00397_1000_trial016.json,2026-09-09T11:22:03.670201
17,world_1,DRL,TD3_00397_1000,1.0,0.0,1.0,True,,0.802,0.791,1.347,1.547,0.199,trial_results/timeseries/world_1_TD3_00397_1000_trial017.json,2026-09-09T11:22:09.498271
18,world_1,DRL,TD3_00397_1000,1.0,0.5,1.118,True,,0.977,0.956,2.19,1.914,0.187,trial_results/timeseries/world_1_TD3_00397_1000_trial018.json,2026-09-09T11:22:15.669407
19,world_1,DRL,TD3_00397_1000,1.0,1.5,1.803,False,Goal timeout after 90.0s,19.194,19.191,0.015,90.007,0.806,trial_results/timeseries/world_1_TD3_00397_1000_trial019.json,2026-09-09T11:23:50.138961
20,world_1,DRL,TD3_00397_1000,1.0,2.0,2.236,True,,3.61,3.599,0.305,11.074,0.198,trial_results/timeseries/world_1_TD3_00397_1000_trial020.json,2026-09-09T11:24:06.631449
21,world_1,DRL,TD3_00397_1000,1.0,2.5,2.693,True,,3.704,3.693,0.293,11.822,0.183,trial_results/timeseries/world_1_TD3_00397_1000_trial021.json,2026-09-09T11:24:22.923878
22,world_1,DRL,TD3_00397_1000,1.0,3.0,3.162,True,,3.278,3.267,0.329,8.083,0.19,trial_results/timeseries/world_1_TD3_00397_1000_trial022.json,2026-09-09T11:24:35.271909
23,world_1,DRL,TD3_00397_1000,1.0,3.5,3.64,True,,3.754,3.743,0.283,9.087,0.194,trial_results/timeseries/world_1_TD3_00397_1000_trial023.json,2026-09-09T11:24:49.704335
24,world_1,DRL,TD3_00397_1000,1.0,4.0,4.123,True,,4.22,4.209,0.256,9.548,0.195,trial_results/timeseries/world_1_TD3_00397_1000_trial024.json,2026-09-09T11:25:04.515870
25,world_1,DRL,TD3_00397_1000,1.0,4.5,4.61,True,,4.872,4.861,0.222,10.716,0.191,trial_results/timeseries/world_1_TD3_00397_1000_trial025.json,2026-09-09T11:25:20.504635
26,world_1,DRL,TD3_00397_1000,1.0,5.0,5.099,True,,6.012,6.001,0.183,15.371,0.195,trial_results/timeseries/world_1_TD3_00397_1000_trial026.json,2026-09-09T11:25:41.189068
27,world_1,DRL,TD3_00397_1000,1.0,5.5,5.59,True,,6.533,6.522,0.165,16.802,0.191,trial_results/timeseries/world_1_TD3_00397_1000_trial027.json,2026-09-09T11:26:02.258492
28,world_1,DRL,TD3_00397_1000,1.0,6.0,6.083,True,,7.031,7.021,0.153,17.364,0.192,trial_results/timeseries/world_1_TD3_00397_1000_trial028.json,2026-09-09T11:26:24.446919
29,world_1,DRL,TD3_00397_1000,1.5,0.0,1.5,True,,1.328,1.306,1.62,2.515,0.179,trial_results/timeseries/world_1_TD3_00397_1000_trial029.json,2026-09-09T11:26:31.229946
30,world_1,DRL,TD3_00397_1000,1.5,0.5,1.581,True,,1.408,1.397,0.758,2.677,0.191,trial_results/timeseries/world_1_TD3_00397_1000_trial030.json,2026-09-09T11:26:38.267319
31,world_1,DRL,TD3_00397_1000,1.5,1.0,1.803,True,,1.709,1.698,0.632,6.353,0.191,trial_results/timeseries/world_1_TD3_00397_1000_trial031.json,2026-09-09T11:26:48.942789
32,world_1,DRL,TD3_00397_1000,1.5,1.5,2.121,True,,2.394,2.383,0.443,8.266,0.199,trial_results/timeseries/world_1_TD3_00397_1000_trial032.json,2026-09-09T11:27:01.475886
33,world_1,DRL,TD3_00397_1000,1.5,2.0,2.5,True,,3.02,3.009,0.362,9.084,0.192,trial_results/timeseries/world_1_TD3_00397_1000_trial033.json,2026-09-09T11:27:15.172408
34,world_1,DRL,TD3_00397_1000,1.5,2.5,2.915,True,,3.492,3.481,0.309,10.01,0.196,trial_results/timeseries/world_1_TD3_00397_1000_trial034.json,2026-09-09T11:27:29.500691
35,world_1,DRL,TD3_00397_1000,1.5,3.0,3.354,True,,4.023,4.012,0.272,10.773,0.194,trial_results/timeseries/world_1_TD3_00397_1000_trial035.json,2026-09-09T11:27:44.535949
36,world_1,DRL,TD3_00397_1000,1.5,3.5,3.808,True,,4.614,4.603,0.236,11.595,0.195,trial_results/timeseries/world_1_TD3_00397_1000_trial036.json,2026-09-09T11:28:01.597286
