trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00391_1000,0.0,0.5,0.5,True,,0.726,0.722,0.451,3.86,0.199,trial_results/timeseries/world_1_TD3_00391_1000_trial000.json,2026-09-10T10:24:19.378225
1,world_1,DRL,TD3_00391_1000,0.0,1.0,1.0,False,"Obstacle hit, mission aborted.",0.824,0.814,1.282,2.918,0.505,trial_results/timeseries/world_1_TD3_00391_1000_trial001.json,2026-09-10T10:24:26.817844
2,world_1,DRL,TD3_00391_1000,0.0,1.5,1.5,False,"Obstacle hit, mission aborted.",0.795,0.784,1.339,2.836,1.026,trial_results/timeseries/world_1_TD3_00391_1000_trial002.json,2026-09-10T10:24:33.915567
3,world_1,DRL,TD3_00391_1000,0.0,2.0,2.0,False,"Obstacle hit, mission aborted.",0.797,0.786,1.333,2.898,1.542,trial_results/timeseries/world_1_TD3_00391_1000_trial003.json,2026-09-10T10:24:42.121864
4,world_1,DRL,TD3_00391_1000,0.0,2.5,2.5,False,"Obstacle hit, mission aborted.",0.799,0.791,0.922,3.058,2.055,trial_results/timeseries/world_1_TD3_00391_1000_trial004.json,2026-09-10T10:24:49.486302
5,world_1,DRL,TD3_00391_1000,0.0,4.0,4.0,True,,4.825,4.814,0.223,11.576,0.196,trial_results/timeseries/world_1_TD3_00391_1000_trial005.json,2026-09-10T10:25:06.383829
6,world_1,DRL,TD3_00391_1000,0.0,5.5,5.5,False,"Obstacle hit, mission aborted.",6.225,6.22,0.078,15.354,1.283,trial_results/timeseries/world_1_TD3_00391_1000_trial006.json,2026-09-10T10:25:26.205423
7,world_1,DRL,TD3_00391_1000,0.0,6.0,6.0,True,,8.676,8.665,0.123,22.569,0.199,trial_results/timeseries/world_1_TD3_00391_1000_trial007.json,2026-09-10T10:25:53.244204
8,world_1,DRL,TD3_00391_1000,0.5,0.5,0.707,True,,0.698,0.697,0.182,6.531,0.2,trial_results/timeseries/world_1_TD3_00391_1000_trial008.json,2026-09-10T10:26:04.058473
9,world_1,DRL,TD3_00391_1000,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",0.788,0.781,0.915,2.535,1.039,trial_results/timeseries/world_1_TD3_00391_1000_trial009.json,2026-09-10T10:26:10.860594
10,world_1,DRL,TD3_00391_1000,0.5,2.0,2.062,True,,3.968,3.957,0.272,10.785,0.195,trial_results/timeseries/world_1_TD3_00391_1000_trial010.json,2026-09-10T10:26:26.904686
11,world_1,DRL,TD3_00391_1000,0.5,2.5,2.55,True,,4.35,4.339,0.247,10.575,0.198,trial_results/timeseries/world_1_TD3_00391_1000_trial011.json,2026-09-10T10:26:41.745980
12,world_1,DRL,TD3_00391_1000,0.5,3.0,3.041,True,,4.826,4.815,0.225,11.015,0.192,trial_results/timeseries/world_1_TD3_00391_1000_trial012.json,2026-09-10T10:26:57.224804
13,world_1,DRL,TD3_00391_1000,0.5,3.5,3.536,True,,5.338,5.327,0.195,11.938,0.188,trial_results/timeseries/world_1_TD3_00391_1000_trial013.json,2026-09-10T10:27:13.680557
14,world_1,DRL,TD3_00391_1000,0.5,4.0,4.031,True,,5.749,5.738,0.188,12.78,0.199,trial_results/timeseries/world_1_TD3_00391_1000_trial014.json,2026-09-10T10:27:31.737763
15,world_1,DRL,TD3_00391_1000,0.5,5.5,5.523,True,,7.776,7.769,0.085,18.507,0.198,trial_results/timeseries/world_1_TD3_00391_1000_trial015.json,2026-09-10T10:27:55.710931
16,world_1,DRL,TD3_00391_1000,0.5,6.0,6.021,True,,8.041,8.031,0.134,17.669,0.186,trial_results/timeseries/world_1_TD3_00391_1000_trial016.json,2026-09-10T10:28:18.706294
17,world_1,DRL,TD3_00391_1000,1.0,0.0,1.0,True,,0.806,0.795,1.335,1.71,0.195,trial_results/timeseries/world_1_TD3_00391_1000_trial017.json,2026-09-10T10:28:25.944330
