trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00402_700,0.0,0.5,0.5,False,"Obstacle hit, mission aborted.",2.158,2.157,0.054,25.214,0.771,trial_results/timeseries/world_1_TD3_00402_700_trial000.json,2026-09-09T17:17:26.561537
1,world_1,DRL,TD3_00402_700,0.0,1.0,1.0,True,,5.386,5.375,0.205,28.027,0.195,trial_results/timeseries/world_1_TD3_00402_700_trial001.json,2026-09-09T17:17:59.865501
2,world_1,DRL,TD3_00402_700,0.0,1.5,1.5,True,,5.085,5.075,0.21,10.009,0.191,trial_results/timeseries/world_1_TD3_00402_700_trial002.json,2026-09-09T17:18:14.155065
3,world_1,DRL,TD3_00402_700,0.0,2.0,2.0,True,,4.801,4.79,0.224,9.203,0.199,trial_results/timeseries/world_1_TD3_00402_700_trial003.json,2026-09-09T17:18:27.633121
4,world_1,DRL,TD3_00402_700,0.0,2.5,2.5,True,,4.767,4.757,0.222,9.125,0.194,trial_results/timeseries/world_1_TD3_00402_700_trial004.json,2026-09-09T17:18:41.022291
5,world_1,DRL,TD3_00402_700,0.0,4.0,4.0,True,,6.042,6.031,0.183,11.473,0.198,trial_results/timeseries/world_1_TD3_00402_700_trial005.json,2026-09-09T17:18:56.813510
6,world_1,DRL,TD3_00402_700,0.0,5.5,5.5,True,,8.439,8.428,0.125,16.966,0.2,trial_results/timeseries/world_1_TD3_00402_700_trial006.json,2026-09-09T17:19:19.046322
7,world_1,DRL,TD3_00402_700,0.0,6.0,6.0,True,,8.211,8.2,0.131,15.497,0.198,trial_results/timeseries/world_1_TD3_00402_700_trial007.json,2026-09-09T17:19:39.819457
8,world_1,DRL,TD3_00402_700,0.5,0.5,0.707,False,"Obstacle hit, mission aborted.",1.305,1.304,0.081,14.727,0.573,trial_results/timeseries/world_1_TD3_00402_700_trial008.json,2026-09-09T17:19:59.017385
9,world_1,DRL,TD3_00402_700,0.5,1.5,1.581,False,Goal timeout after 90.0s,28.907,28.897,0.036,90.019,1.234,trial_results/timeseries/world_1_TD3_00402_700_trial009.json,2026-09-09T17:21:33.558245
10,world_1,DRL,TD3_00402_700,0.5,2.0,2.062,True,,4.03,4.019,0.27,7.537,0.196,trial_results/timeseries/world_1_TD3_00402_700_trial010.json,2026-09-09T17:21:46.625188
11,world_1,DRL,TD3_00402_700,0.5,2.5,2.55,True,,4.345,4.334,0.248,8.222,0.191,trial_results/timeseries/world_1_TD3_00402_700_trial011.json,2026-09-09T17:21:59.111501
12,world_1,DRL,TD3_00402_700,0.5,3.0,3.041,True,,4.755,4.754,0.033,9.65,0.199,trial_results/timeseries/world_1_TD3_00402_700_trial012.json,2026-09-09T17:22:13.526604
13,world_1,DRL,TD3_00402_700,0.5,3.5,3.536,True,,5.264,5.254,0.2,9.991,0.195,trial_results/timeseries/world_1_TD3_00402_700_trial013.json,2026-09-09T17:22:27.792010
14,world_1,DRL,TD3_00402_700,0.5,4.0,4.031,True,,5.699,5.688,0.187,10.854,0.19,trial_results/timeseries/world_1_TD3_00402_700_trial014.json,2026-09-09T17:22:42.965527
15,world_1,DRL,TD3_00402_700,0.5,5.5,5.523,True,,7.422,7.411,0.145,13.968,0.19,trial_results/timeseries/world_1_TD3_00402_700_trial015.json,2026-09-09T17:23:01.194360
16,world_1,DRL,TD3_00402_700,0.5,6.0,6.021,True,,7.839,7.828,0.138,14.828,0.189,trial_results/timeseries/world_1_TD3_00402_700_trial016.json,2026-09-09T17:23:20.301725
17,world_1,DRL,TD3_00402_700,1.0,0.0,1.0,True,,0.807,0.796,1.336,1.551,0.195,trial_results/timeseries/world_1_TD3_00402_700_trial017.json,2026-09-09T17:23:27.175288
18,world_1,DRL,TD3_00402_700,1.0,0.5,1.118,True,,0.975,0.964,1.134,1.871,0.19,trial_results/timeseries/world_1_TD3_00402_700_trial018.json,2026-09-09T17:23:33.306183
19,world_1,DRL,TD3_00402_700,1.0,1.5,1.803,False,Goal timeout after 90.0s,13.186,13.185,0.011,90.007,1.284,trial_results/timeseries/world_1_TD3_00402_700_trial019.json,2026-09-09T17:25:08.621803
20,world_1,DRL,TD3_00402_700,1.0,2.0,2.236,True,,3.563,3.553,0.301,6.696,0.193,trial_results/timeseries/world_1_TD3_00402_700_trial020.json,2026-09-09T17:25:19.943564
21,world_1,DRL,TD3_00402_700,1.0,2.5,2.693,True,,4.031,4.02,0.268,7.559,0.19,trial_results/timeseries/world_1_TD3_00402_700_trial021.json,2026-09-09T17:25:32.769015
22,world_1,DRL,TD3_00402_700,1.0,3.0,3.162,True,,4.517,4.507,0.239,8.463,0.198,trial_results/timeseries/world_1_TD3_00402_700_trial022.json,2026-09-09T17:25:46.494874
23,world_1,DRL,TD3_00402_700,1.0,3.5,3.64,True,,5.043,5.032,0.216,9.469,0.195,trial_results/timeseries/world_1_TD3_00402_700_trial023.json,2026-09-09T17:26:00.560711
24,world_1,DRL,TD3_00402_700,1.0,4.0,4.123,True,,5.538,5.527,0.194,10.451,0.198,trial_results/timeseries/world_1_TD3_00402_700_trial024.json,2026-09-09T17:26:15.298238
25,world_1,DRL,TD3_00402_700,1.0,4.5,4.61,True,,6.102,6.092,0.176,11.393,0.198,trial_results/timeseries/world_1_TD3_00402_700_trial025.json,2026-09-09T17:26:32.012786
26,world_1,DRL,TD3_00402_700,1.0,5.0,5.099,True,,6.653,6.642,0.162,12.406,0.192,trial_results/timeseries/world_1_TD3_00402_700_trial026.json,2026-09-09T17:26:49.689994
27,world_1,DRL,TD3_00402_700,1.0,5.5,5.59,True,,7.21,7.2,0.148,13.427,0.194,trial_results/timeseries/world_1_TD3_00402_700_trial027.json,2026-09-09T17:27:08.486560
28,world_1,DRL,TD3_00402_700,1.0,6.0,6.083,True,,7.704,7.693,0.14,14.35,0.185,trial_results/timeseries/world_1_TD3_00402_700_trial028.json,2026-09-09T17:27:27.105195
29,world_1,DRL,TD3_00402_700,1.5,0.0,1.5,True,,1.312,1.301,0.82,2.496,0.19,trial_results/timeseries/world_1_TD3_00402_700_trial029.json,2026-09-09T17:27:33.872234
30,world_1,DRL,TD3_00402_700,1.5,0.5,1.581,True,,1.41,1.399,0.751,2.675,0.195,trial_results/timeseries/world_1_TD3_00402_700_trial030.json,2026-09-09T17:27:40.809038
