trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00393_900,0.0,0.5,0.5,True,,0.909,0.903,0.608,4.144,0.197,trial_results/timeseries/world_1_TD3_00393_900_trial000.json,2026-09-09T01:16:25.831723
1,world_1,DRL,TD3_00393_900,0.0,1.0,1.0,True,,1.322,1.311,0.816,4.285,0.19,trial_results/timeseries/world_1_TD3_00393_900_trial001.json,2026-09-09T01:16:35.634370
2,world_1,DRL,TD3_00393_900,0.0,1.5,1.5,True,,1.836,1.825,0.587,5.289,0.197,trial_results/timeseries/world_1_TD3_00393_900_trial002.json,2026-09-09T01:16:45.441570
3,world_1,DRL,TD3_00393_900,0.0,2.0,2.0,True,,2.451,2.44,0.44,6.514,0.2,trial_results/timeseries/world_1_TD3_00393_900_trial003.json,2026-09-09T01:16:56.212820
4,world_1,DRL,TD3_00393_900,0.0,2.5,2.5,True,,3.244,3.233,0.333,8.083,0.197,trial_results/timeseries/world_1_TD3_00393_900_trial004.json,2026-09-09T01:17:08.807111
5,world_1,DRL,TD3_00393_900,0.0,4.0,4.0,True,,4.76,4.749,0.226,11.699,0.194,trial_results/timeseries/world_1_TD3_00393_900_trial005.json,2026-09-09T01:17:25.781310
6,world_1,DRL,TD3_00393_900,0.0,5.5,5.5,True,,6.232,6.221,0.172,14.335,0.198,trial_results/timeseries/world_1_TD3_00393_900_trial006.json,2026-09-09T01:17:44.382154
7,world_1,DRL,TD3_00393_900,0.0,6.0,6.0,True,,6.718,6.707,0.16,15.159,0.199,trial_results/timeseries/world_1_TD3_00393_900_trial007.json,2026-09-09T01:18:03.875495
8,world_1,DRL,TD3_00393_900,0.5,0.5,0.707,True,,0.834,0.826,1.043,3.35,0.196,trial_results/timeseries/world_1_TD3_00393_900_trial008.json,2026-09-09T01:18:12.499407
9,world_1,DRL,TD3_00393_900,0.5,1.5,1.581,True,,2.984,2.983,0.039,12.201,0.2,trial_results/timeseries/world_1_TD3_00393_900_trial009.json,2026-09-09T01:18:29.264400
10,world_1,DRL,TD3_00393_900,0.5,2.0,2.062,True,,3.538,3.53,0.217,9.209,0.2,trial_results/timeseries/world_1_TD3_00393_900_trial010.json,2026-09-09T01:18:43.736039
11,world_1,DRL,TD3_00393_900,0.5,2.5,2.55,True,,3.946,3.935,0.272,9.717,0.198,trial_results/timeseries/world_1_TD3_00393_900_trial011.json,2026-09-09T01:18:57.719065
12,world_1,DRL,TD3_00393_900,0.5,3.0,3.041,False,"Obstacle hit, mission aborted.",4.33,4.32,0.219,10.416,0.211,trial_results/timeseries/world_1_TD3_00393_900_trial012.json,2026-09-09T01:19:12.658319
13,world_1,DRL,TD3_00393_900,0.5,3.5,3.536,True,,5.602,5.598,0.074,16.782,0.199,trial_results/timeseries/world_1_TD3_00393_900_trial013.json,2026-09-09T01:19:33.957423
14,world_1,DRL,TD3_00393_900,0.5,4.0,4.031,False,"Obstacle hit, mission aborted.",4.256,4.249,0.17,11.842,1.579,trial_results/timeseries/world_1_TD3_00393_900_trial014.json,2026-09-09T01:19:51.318528
15,world_1,DRL,TD3_00393_900,0.5,5.5,5.523,False,"Obstacle hit, mission aborted.",4.067,4.056,0.271,10.975,2.732,trial_results/timeseries/world_1_TD3_00393_900_trial015.json,2026-09-09T01:20:07.560384
16,world_1,DRL,TD3_00393_900,0.5,6.0,6.021,False,"Obstacle hit, mission aborted.",4.017,4.006,0.27,10.915,3.226,trial_results/timeseries/world_1_TD3_00393_900_trial016.json,2026-09-09T01:20:22.942576
17,world_1,DRL,TD3_00393_900,1.0,0.0,1.0,True,,0.814,0.792,2.645,1.713,0.187,trial_results/timeseries/world_1_TD3_00393_900_trial017.json,2026-09-09T01:20:29.422850
18,world_1,DRL,TD3_00393_900,1.0,0.5,1.118,True,,0.959,0.948,1.12,2.013,0.199,trial_results/timeseries/world_1_TD3_00393_900_trial018.json,2026-09-09T01:20:35.696737
19,world_1,DRL,TD3_00393_900,1.0,1.5,1.803,True,,3.338,3.334,0.132,10.457,0.2,trial_results/timeseries/world_1_TD3_00393_900_trial019.json,2026-09-09T01:20:50.771511
