trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00380_1000,0.0,0.5,0.5,True,,0.835,0.826,1.107,4.888,0.198,trial_results/timeseries/world_1_TD3_00380_1000_trial000.json,2026-09-01T13:42:09.349309
1,world_1,DRL,TD3_00380_1000,0.0,1.0,1.0,True,,1.135,1.124,0.95,4.526,0.192,trial_results/timeseries/world_1_TD3_00380_1000_trial001.json,2026-09-01T13:42:18.383126
2,world_1,DRL,TD3_00380_1000,0.0,1.5,1.5,True,,1.606,1.595,0.656,5.552,0.193,trial_results/timeseries/world_1_TD3_00380_1000_trial002.json,2026-09-01T13:42:28.756281
3,world_1,DRL,TD3_00380_1000,0.0,2.0,2.0,True,,2.159,2.148,0.491,6.615,0.198,trial_results/timeseries/world_1_TD3_00380_1000_trial003.json,2026-09-01T13:42:40.190902
4,world_1,DRL,TD3_00380_1000,0.0,2.5,2.5,True,,2.662,2.651,0.401,7.521,0.194,trial_results/timeseries/world_1_TD3_00380_1000_trial004.json,2026-09-01T13:42:51.969423
5,world_1,DRL,TD3_00380_1000,0.0,4.0,4.0,True,,4.723,4.712,0.237,14.034,0.194,trial_results/timeseries/world_1_TD3_00380_1000_trial005.json,2026-09-01T13:43:10.542767
6,world_1,DRL,TD3_00380_1000,0.0,5.5,5.5,True,,6.097,6.086,0.178,14.835,0.191,trial_results/timeseries/world_1_TD3_00380_1000_trial006.json,2026-09-01T13:43:30.642927
7,world_1,DRL,TD3_00380_1000,0.0,6.0,6.0,True,,6.562,6.552,0.165,15.92,0.194,trial_results/timeseries/world_1_TD3_00380_1000_trial007.json,2026-09-01T13:43:51.328784
8,world_1,DRL,TD3_00380_1000,0.5,0.5,0.707,False,"Obstacle hit, mission aborted.",0.918,0.916,0.18,3.882,0.255,trial_results/timeseries/world_1_TD3_00380_1000_trial008.json,2026-09-01T13:43:59.493181
9,world_1,DRL,TD3_00380_1000,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",0.988,0.985,0.335,5.589,1.122,trial_results/timeseries/world_1_TD3_00380_1000_trial009.json,2026-09-01T13:44:09.588815
10,world_1,DRL,TD3_00380_1000,0.5,2.0,2.062,True,,3.503,3.492,0.321,10.674,0.197,trial_results/timeseries/world_1_TD3_00380_1000_trial010.json,2026-09-01T13:44:25.029658
11,world_1,DRL,TD3_00380_1000,0.5,2.5,2.55,False,"Obstacle hit, mission aborted.",0.977,0.975,0.147,5.429,2.108,trial_results/timeseries/world_1_TD3_00380_1000_trial011.json,2026-09-01T13:44:34.983107
12,world_1,DRL,TD3_00380_1000,0.5,3.0,3.041,True,,4.151,4.14,0.246,11.121,0.196,trial_results/timeseries/world_1_TD3_00380_1000_trial012.json,2026-09-01T13:44:50.377051
13,world_1,DRL,TD3_00380_1000,0.5,3.5,3.536,True,,4.65,4.639,0.227,10.155,0.199,trial_results/timeseries/world_1_TD3_00380_1000_trial013.json,2026-09-01T13:45:05.051529
14,world_1,DRL,TD3_00380_1000,0.5,4.0,4.031,True,,5.063,5.052,0.215,14.735,0.19,trial_results/timeseries/world_1_TD3_00380_1000_trial014.json,2026-09-01T13:45:25.057214
15,world_1,DRL,TD3_00380_1000,0.5,5.5,5.523,True,,8.125,8.114,0.136,25.883,0.2,trial_results/timeseries/world_1_TD3_00380_1000_trial015.json,2026-09-01T13:45:55.201982
16,world_1,DRL,TD3_00380_1000,0.5,6.0,6.021,False,"Obstacle hit, mission aborted.",0.869,0.865,0.453,4.267,5.554,trial_results/timeseries/world_1_TD3_00380_1000_trial016.json,2026-09-01T13:46:04.046816
17,world_1,DRL,TD3_00380_1000,1.0,0.0,1.0,True,,0.83,0.82,1.275,1.592,0.181,trial_results/timeseries/world_1_TD3_00380_1000_trial017.json,2026-09-01T13:46:10.152196
18,world_1,DRL,TD3_00380_1000,1.0,0.5,1.118,True,,0.958,0.947,1.138,1.853,0.196,trial_results/timeseries/world_1_TD3_00380_1000_trial018.json,2026-09-01T13:46:16.519168
19,world_1,DRL,TD3_00380_1000,1.0,1.5,1.803,False,"Obstacle hit, mission aborted.",4.459,4.457,0.044,34.935,0.961,trial_results/timeseries/world_1_TD3_00380_1000_trial019.json,2026-09-01T13:46:56.716825
20,world_1,DRL,TD3_00380_1000,1.0,2.0,2.236,True,,3.062,3.052,0.352,7.684,0.192,trial_results/timeseries/world_1_TD3_00380_1000_trial020.json,2026-09-01T13:47:08.680266
21,world_1,DRL,TD3_00380_1000,1.0,2.5,2.693,True,,3.445,3.434,0.314,7.8,0.198,trial_results/timeseries/world_1_TD3_00380_1000_trial021.json,2026-09-01T13:47:20.754419
22,world_1,DRL,TD3_00380_1000,1.0,3.0,3.162,True,,3.902,3.891,0.275,8.644,0.199,trial_results/timeseries/world_1_TD3_00380_1000_trial022.json,2026-09-01T13:47:34.254367
23,world_1,DRL,TD3_00380_1000,1.0,3.5,3.64,True,,4.393,4.383,0.247,9.933,0.195,trial_results/timeseries/world_1_TD3_00380_1000_trial023.json,2026-09-01T13:47:48.498190
24,world_1,DRL,TD3_00380_1000,1.0,4.0,4.123,True,,4.864,4.853,0.217,10.895,0.193,trial_results/timeseries/world_1_TD3_00380_1000_trial024.json,2026-09-01T13:48:03.908580
25,world_1,DRL,TD3_00380_1000,1.0,4.5,4.61,True,,5.377,5.367,0.201,11.725,0.198,trial_results/timeseries/world_1_TD3_00380_1000_trial025.json,2026-09-01T13:48:20.396922
26,world_1,DRL,TD3_00380_1000,1.0,5.0,5.099,True,,5.841,5.83,0.184,12.642,0.197,trial_results/timeseries/world_1_TD3_00380_1000_trial026.json,2026-09-01T13:48:37.553117
27,world_1,DRL,TD3_00380_1000,1.0,5.5,5.59,True,,6.355,6.334,0.338,13.637,0.182,trial_results/timeseries/world_1_TD3_00380_1000_trial027.json,2026-09-01T13:48:56.451580
28,world_1,DRL,TD3_00380_1000,1.0,6.0,6.083,False,"Obstacle hit, mission aborted.",0.888,0.884,0.507,4.365,5.575,trial_results/timeseries/world_1_TD3_00380_1000_trial028.json,2026-09-01T13:49:05.443766
29,world_1,DRL,TD3_00380_1000,1.5,0.0,1.5,True,,1.32,1.309,0.82,2.515,0.192,trial_results/timeseries/world_1_TD3_00380_1000_trial029.json,2026-09-01T13:49:13.222657
30,world_1,DRL,TD3_00380_1000,1.5,0.5,1.581,True,,1.407,1.396,0.786,2.678,0.193,trial_results/timeseries/world_1_TD3_00380_1000_trial030.json,2026-09-01T13:49:20.460414
31,world_1,DRL,TD3_00380_1000,1.5,1.0,1.803,True,,1.813,1.802,0.61,3.9,0.194,trial_results/timeseries/world_1_TD3_00380_1000_trial031.json,2026-09-01T13:49:28.616361
32,world_1,DRL,TD3_00380_1000,1.5,1.5,2.121,True,,2.712,2.708,0.174,8.06,0.199,trial_results/timeseries/world_1_TD3_00380_1000_trial032.json,2026-09-01T13:49:41.934196
33,world_1,DRL,TD3_00380_1000,1.5,2.0,2.5,True,,2.823,2.812,0.374,6.274,0.193,trial_results/timeseries/world_1_TD3_00380_1000_trial033.json,2026-09-01T13:49:52.469911
34,world_1,DRL,TD3_00380_1000,1.5,2.5,2.915,True,,3.323,3.312,0.329,6.996,0.194,trial_results/timeseries/world_1_TD3_00380_1000_trial034.json,2026-09-01T13:50:03.934850
35,world_1,DRL,TD3_00380_1000,1.5,3.0,3.354,True,,3.863,3.852,0.28,8.422,0.192,trial_results/timeseries/world_1_TD3_00380_1000_trial035.json,2026-09-01T13:50:16.868737
