trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00401_900,0.0,0.5,0.5,True,,0.632,0.625,1.107,3.921,0.2,trial_results/timeseries/world_1_TD3_00401_900_trial000.json,2026-09-09T16:20:58.143634
1,world_1,DRL,TD3_00401_900,0.0,1.0,1.0,True,,1.046,1.035,1.042,3.899,0.19,trial_results/timeseries/world_1_TD3_00401_900_trial001.json,2026-09-09T16:21:06.502003
2,world_1,DRL,TD3_00401_900,0.0,1.5,1.5,True,,1.607,1.596,0.673,5.611,0.19,trial_results/timeseries/world_1_TD3_00401_900_trial002.json,2026-09-09T16:21:16.371076
3,world_1,DRL,TD3_00401_900,0.0,2.0,2.0,True,,2.149,2.138,0.504,6.917,0.195,trial_results/timeseries/world_1_TD3_00401_900_trial003.json,2026-09-09T16:21:27.800577
4,world_1,DRL,TD3_00401_900,0.0,2.5,2.5,True,,2.709,2.698,0.401,7.88,0.197,trial_results/timeseries/world_1_TD3_00401_900_trial004.json,2026-09-09T16:21:40.996528
5,world_1,DRL,TD3_00401_900,0.0,4.0,4.0,True,,6.259,6.248,0.17,11.916,0.197,trial_results/timeseries/world_1_TD3_00401_900_trial005.json,2026-09-09T16:21:57.175598
6,world_1,DRL,TD3_00401_900,0.0,5.5,5.5,True,,8.93,8.919,0.121,20.187,0.198,trial_results/timeseries/world_1_TD3_00401_900_trial006.json,2026-09-09T16:22:22.633203
7,world_1,DRL,TD3_00401_900,0.0,6.0,6.0,True,,8.18,8.169,0.132,15.252,0.197,trial_results/timeseries/world_1_TD3_00401_900_trial007.json,2026-09-09T16:22:42.658067
8,world_1,DRL,TD3_00401_900,0.5,0.5,0.707,True,,0.848,0.838,1.198,4.061,0.195,trial_results/timeseries/world_1_TD3_00401_900_trial008.json,2026-09-09T16:22:50.990543
9,world_1,DRL,TD3_00401_900,0.5,1.5,1.581,True,,4.341,4.333,0.196,11.201,0.198,trial_results/timeseries/world_1_TD3_00401_900_trial009.json,2026-09-09T16:23:07.655582
10,world_1,DRL,TD3_00401_900,0.5,2.0,2.062,True,,4.295,4.284,0.251,10.311,0.19,trial_results/timeseries/world_1_TD3_00401_900_trial010.json,2026-09-09T16:23:23.483071
11,world_1,DRL,TD3_00401_900,0.5,2.5,2.55,True,,4.551,4.54,0.236,10.674,0.198,trial_results/timeseries/world_1_TD3_00401_900_trial011.json,2026-09-09T16:23:38.433895
12,world_1,DRL,TD3_00401_900,0.5,3.0,3.041,False,"Obstacle hit, mission aborted.",5.208,5.197,0.205,15.878,0.341,trial_results/timeseries/world_1_TD3_00401_900_trial012.json,2026-09-09T16:23:59.631536
13,world_1,DRL,TD3_00401_900,0.5,3.5,3.536,True,,5.35,5.346,0.062,11.358,0.2,trial_results/timeseries/world_1_TD3_00401_900_trial013.json,2026-09-09T16:24:15.263858
14,world_1,DRL,TD3_00401_900,0.5,4.0,4.031,True,,5.643,5.632,0.192,10.576,0.192,trial_results/timeseries/world_1_TD3_00401_900_trial014.json,2026-09-09T16:24:30.157906
