trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00392_1000,0.0,0.5,0.5,True,,4.866,4.857,0.196,14.131,0.197,trial_results/timeseries/world_1_TD3_00392_1000_trial000.json,2026-09-10T11:22:28.032217
1,world_1,DRL,TD3_00392_1000,0.0,1.0,1.0,False,"Obstacle hit, mission aborted.",0.935,0.927,0.834,3.605,0.65,trial_results/timeseries/world_1_TD3_00392_1000_trial001.json,2026-09-10T11:22:36.101953
2,world_1,DRL,TD3_00392_1000,0.0,1.5,1.5,True,,2.071,2.067,0.212,6.234,0.196,trial_results/timeseries/world_1_TD3_00392_1000_trial002.json,2026-09-10T11:22:46.896494
3,world_1,DRL,TD3_00392_1000,0.0,2.0,2.0,True,,2.61,2.599,0.406,7.339,0.189,trial_results/timeseries/world_1_TD3_00392_1000_trial003.json,2026-09-10T11:22:58.747040
4,world_1,DRL,TD3_00392_1000,0.0,2.5,2.5,True,,3.102,3.092,0.34,8.543,0.193,trial_results/timeseries/world_1_TD3_00392_1000_trial004.json,2026-09-10T11:23:11.805507
5,world_1,DRL,TD3_00392_1000,0.0,4.0,4.0,True,,6.012,6.002,0.177,12.379,0.193,trial_results/timeseries/world_1_TD3_00392_1000_trial005.json,2026-09-10T11:23:28.448382
6,world_1,DRL,TD3_00392_1000,0.0,5.5,5.5,True,,6.581,6.575,0.098,27.231,0.199,trial_results/timeseries/world_1_TD3_00392_1000_trial006.json,2026-09-10T11:24:00.240324
7,world_1,DRL,TD3_00392_1000,0.0,6.0,6.0,True,,7.0,6.99,0.152,22.17,0.198,trial_results/timeseries/world_1_TD3_00392_1000_trial007.json,2026-09-10T11:24:26.946680
8,world_1,DRL,TD3_00392_1000,0.5,0.5,0.707,False,Goal timeout after 90.0s,0.761,0.757,0.428,90.029,0.222,trial_results/timeseries/world_1_TD3_00392_1000_trial008.json,2026-09-10T11:26:01.265519
9,world_1,DRL,TD3_00392_1000,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",5.694,5.691,0.052,22.49,0.219,trial_results/timeseries/world_1_TD3_00392_1000_trial009.json,2026-09-10T11:26:28.353404
10,world_1,DRL,TD3_00392_1000,0.5,2.0,2.062,True,,2.996,2.979,0.557,9.173,0.188,trial_results/timeseries/world_1_TD3_00392_1000_trial010.json,2026-09-10T11:26:41.852914
