trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00396_500,0.0,0.5,0.5,True,,4.873,4.863,0.221,9.084,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial000.json,2026-09-09T10:30:09.197686
1,world_1,DRL,TD3_00396_500,0.0,1.0,1.0,True,,4.349,4.338,0.254,8.139,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial001.json,2026-09-09T10:30:22.609551
2,world_1,DRL,TD3_00396_500,0.0,1.5,1.5,True,,3.961,3.95,0.277,7.416,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial002.json,2026-09-09T10:30:34.292305
3,world_1,DRL,TD3_00396_500,0.0,2.0,2.0,True,,3.932,3.921,0.279,7.358,0.19,trial_results/timeseries/world_1_TD3_00396_500_trial003.json,2026-09-09T10:30:46.929576
4,world_1,DRL,TD3_00396_500,0.0,2.5,2.5,True,,4.146,4.135,0.259,7.778,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial004.json,2026-09-09T10:30:58.974458
5,world_1,DRL,TD3_00396_500,0.0,4.0,4.0,True,,5.366,5.355,0.198,10.033,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial005.json,2026-09-09T10:31:13.274486
6,world_1,DRL,TD3_00396_500,0.0,5.5,5.5,False,Goal timeout after 90.0s,11.496,11.495,0.013,90.018,1.72,trial_results/timeseries/world_1_TD3_00396_500_trial006.json,2026-09-09T10:32:47.558075
7,world_1,DRL,TD3_00396_500,0.0,6.0,6.0,False,"Obstacle hit, mission aborted.",6.473,6.462,0.167,13.676,2.682,trial_results/timeseries/world_1_TD3_00396_500_trial007.json,2026-09-09T10:33:05.615568
8,world_1,DRL,TD3_00396_500,0.5,0.5,0.707,True,,5.291,5.28,0.206,9.889,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial008.json,2026-09-09T10:33:21.279257
9,world_1,DRL,TD3_00396_500,0.5,1.5,1.581,False,Goal timeout after 90.0s,48.517,48.506,0.022,90.013,0.243,trial_results/timeseries/world_1_TD3_00396_500_trial009.json,2026-09-09T10:34:56.562518
10,world_1,DRL,TD3_00396_500,0.5,2.0,2.062,True,,3.463,3.452,0.319,6.514,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial010.json,2026-09-09T10:35:07.461438
11,world_1,DRL,TD3_00396_500,0.5,2.5,2.55,True,,3.754,3.744,0.285,7.036,0.199,trial_results/timeseries/world_1_TD3_00396_500_trial011.json,2026-09-09T10:35:18.766852
12,world_1,DRL,TD3_00396_500,0.5,3.0,3.041,True,,4.16,4.15,0.256,7.799,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial012.json,2026-09-09T10:35:30.829613
13,world_1,DRL,TD3_00396_500,0.5,3.5,3.536,True,,4.621,4.611,0.231,8.641,0.19,trial_results/timeseries/world_1_TD3_00396_500_trial013.json,2026-09-09T10:35:43.732530
14,world_1,DRL,TD3_00396_500,0.5,4.0,4.031,True,,5.049,5.038,0.21,9.447,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial014.json,2026-09-09T10:35:58.440572
15,world_1,DRL,TD3_00396_500,0.5,5.5,5.523,False,"Obstacle hit, mission aborted.",1.649,1.638,0.671,3.118,4.806,trial_results/timeseries/world_1_TD3_00396_500_trial015.json,2026-09-09T10:36:05.826021
16,world_1,DRL,TD3_00396_500,0.5,6.0,6.021,False,"Obstacle hit, mission aborted.",1.682,1.671,0.652,3.179,5.267,trial_results/timeseries/world_1_TD3_00396_500_trial016.json,2026-09-09T10:36:14.265642
17,world_1,DRL,TD3_00396_500,1.0,0.0,1.0,True,,0.817,0.806,1.348,1.57,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial017.json,2026-09-09T10:36:20.100176
18,world_1,DRL,TD3_00396_500,1.0,0.5,1.118,True,,1.006,0.995,1.055,1.932,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial018.json,2026-09-09T10:36:26.294997
19,world_1,DRL,TD3_00396_500,1.0,1.5,1.803,False,Goal timeout after 90.0s,48.531,48.52,0.022,90.022,0.747,trial_results/timeseries/world_1_TD3_00396_500_trial019.json,2026-09-09T10:38:01.574675
20,world_1,DRL,TD3_00396_500,1.0,2.0,2.236,True,,3.046,3.035,0.355,5.729,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial020.json,2026-09-09T10:38:11.668169
21,world_1,DRL,TD3_00396_500,1.0,2.5,2.693,True,,3.473,3.463,0.305,6.554,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial021.json,2026-09-09T10:38:23.486631
22,world_1,DRL,TD3_00396_500,1.0,3.0,3.162,True,,3.944,3.933,0.272,7.428,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial022.json,2026-09-09T10:38:35.184267
23,world_1,DRL,TD3_00396_500,1.0,3.5,3.64,True,,4.44,4.429,0.239,8.281,0.188,trial_results/timeseries/world_1_TD3_00396_500_trial023.json,2026-09-09T10:38:48.725986
24,world_1,DRL,TD3_00396_500,1.0,4.0,4.123,True,,4.901,4.89,0.217,9.144,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial024.json,2026-09-09T10:39:02.132186
25,world_1,DRL,TD3_00396_500,1.0,4.5,4.61,True,,5.354,5.343,0.199,9.996,0.2,trial_results/timeseries/world_1_TD3_00396_500_trial025.json,2026-09-09T10:39:16.450010
26,world_1,DRL,TD3_00396_500,1.0,5.0,5.099,True,,5.783,5.773,0.183,10.815,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial026.json,2026-09-09T10:39:31.582712
27,world_1,DRL,TD3_00396_500,1.0,5.5,5.59,True,,6.244,6.234,0.171,11.635,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial027.json,2026-09-09T10:39:49.088419
28,world_1,DRL,TD3_00396_500,1.0,6.0,6.083,False,"Obstacle hit, mission aborted.",1.551,1.54,0.713,2.937,5.32,trial_results/timeseries/world_1_TD3_00396_500_trial028.json,2026-09-09T10:39:56.545122
29,world_1,DRL,TD3_00396_500,1.5,0.0,1.5,True,,1.31,1.299,0.822,2.495,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial029.json,2026-09-09T10:40:04.303477
30,world_1,DRL,TD3_00396_500,1.5,0.5,1.581,True,,1.399,1.389,0.759,2.655,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial030.json,2026-09-09T10:40:12.218898
31,world_1,DRL,TD3_00396_500,1.5,1.0,1.803,True,,1.763,1.752,0.613,3.338,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial031.json,2026-09-09T10:40:19.819726
32,world_1,DRL,TD3_00396_500,1.5,1.5,2.121,True,,2.266,2.255,0.477,4.283,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial032.json,2026-09-09T10:40:29.371154
33,world_1,DRL,TD3_00396_500,1.5,2.0,2.5,True,,2.829,2.819,0.373,5.308,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial033.json,2026-09-09T10:40:38.941332
34,world_1,DRL,TD3_00396_500,1.5,2.5,2.915,True,,3.351,3.34,0.326,6.393,0.199,trial_results/timeseries/world_1_TD3_00396_500_trial034.json,2026-09-09T10:40:50.598107
35,world_1,DRL,TD3_00396_500,1.5,3.0,3.354,True,,3.875,3.864,0.273,7.84,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial035.json,2026-09-09T10:41:02.696938
36,world_1,DRL,TD3_00396_500,1.5,3.5,3.808,True,,4.383,4.372,0.245,8.304,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial036.json,2026-09-09T10:41:16.280999
37,world_1,DRL,TD3_00396_500,1.5,4.0,4.272,True,,4.879,4.868,0.225,9.208,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial037.json,2026-09-09T10:41:31.013400
38,world_1,DRL,TD3_00396_500,1.5,4.5,4.743,True,,5.353,5.342,0.202,10.055,0.189,trial_results/timeseries/world_1_TD3_00396_500_trial038.json,2026-09-09T10:41:45.559063
39,world_1,DRL,TD3_00396_500,1.5,5.0,5.22,True,,5.769,5.758,0.187,10.996,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial039.json,2026-09-09T10:42:01.825786
40,world_1,DRL,TD3_00396_500,1.5,5.5,5.701,True,,6.234,6.223,0.174,11.896,0.199,trial_results/timeseries/world_1_TD3_00396_500_trial040.json,2026-09-09T10:42:19.048506
41,world_1,DRL,TD3_00396_500,1.5,6.0,6.185,False,"Obstacle hit, mission aborted.",1.62,1.609,0.683,3.077,5.252,trial_results/timeseries/world_1_TD3_00396_500_trial041.json,2026-09-09T10:42:26.393589
42,world_1,DRL,TD3_00396_500,2.0,0.0,2.0,True,,1.807,1.797,0.594,3.419,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial042.json,2026-09-09T10:42:35.280834
43,world_1,DRL,TD3_00396_500,2.0,0.5,2.062,True,,1.884,1.873,0.588,3.561,0.2,trial_results/timeseries/world_1_TD3_00396_500_trial043.json,2026-09-09T10:42:43.102880
44,world_1,DRL,TD3_00396_500,2.0,1.0,2.236,True,,2.096,2.085,0.516,3.962,0.199,trial_results/timeseries/world_1_TD3_00396_500_trial044.json,2026-09-09T10:42:51.327704
45,world_1,DRL,TD3_00396_500,2.0,1.5,2.5,True,,2.472,2.461,0.437,4.667,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial045.json,2026-09-09T10:43:01.257756
46,world_1,DRL,TD3_00396_500,2.0,2.0,2.828,True,,2.915,2.904,0.379,5.75,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial046.json,2026-09-09T10:43:12.269108
47,world_1,DRL,TD3_00396_500,2.0,3.5,4.031,True,,11.528,11.517,0.096,22.633,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial047.json,2026-09-09T10:43:39.163640
48,world_1,DRL,TD3_00396_500,2.0,4.0,4.472,True,,5.025,5.015,0.21,9.709,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial048.json,2026-09-09T10:43:53.152285
49,world_1,DRL,TD3_00396_500,2.0,4.5,4.924,True,,5.459,5.448,0.193,10.19,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial049.json,2026-09-09T10:44:07.612897
50,world_1,DRL,TD3_00396_500,2.0,5.0,5.385,True,,5.867,5.856,0.187,10.935,0.178,trial_results/timeseries/world_1_TD3_00396_500_trial050.json,2026-09-09T10:44:22.813608
51,world_1,DRL,TD3_00396_500,2.0,5.5,5.852,True,,6.319,6.308,0.168,12.041,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial051.json,2026-09-09T10:44:39.573500
52,world_1,DRL,TD3_00396_500,2.0,6.0,6.325,True,,6.793,6.782,0.159,12.967,0.196,trial_results/timeseries/world_1_TD3_00396_500_trial052.json,2026-09-09T10:44:56.803604
53,world_1,DRL,TD3_00396_500,2.5,0.0,2.5,True,,2.324,2.313,0.464,4.444,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial053.json,2026-09-09T10:45:05.929427
54,world_1,DRL,TD3_00396_500,2.5,1.5,2.915,True,,2.817,2.806,0.385,5.308,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial054.json,2026-09-09T10:45:15.599668
55,world_1,DRL,TD3_00396_500,2.5,2.0,3.202,True,,3.171,3.16,0.344,6.051,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial055.json,2026-09-09T10:45:26.922289
56,world_1,DRL,TD3_00396_500,2.5,2.5,3.536,True,,3.59,3.58,0.297,6.736,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial056.json,2026-09-09T10:45:37.924489
57,world_1,DRL,TD3_00396_500,2.5,3.0,3.905,True,,4.091,4.08,0.265,7.981,0.199,trial_results/timeseries/world_1_TD3_00396_500_trial057.json,2026-09-09T10:45:50.167645
58,world_1,DRL,TD3_00396_500,2.5,3.5,4.301,True,,5.946,5.935,0.19,12.018,0.2,trial_results/timeseries/world_1_TD3_00396_500_trial058.json,2026-09-09T10:46:06.448764
59,world_1,DRL,TD3_00396_500,2.5,4.0,4.717,True,,5.749,5.738,0.184,11.458,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial059.json,2026-09-09T10:46:22.177574
60,world_1,DRL,TD3_00396_500,2.5,4.5,5.148,True,,5.735,5.724,0.19,11.135,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial060.json,2026-09-09T10:46:37.954893
61,world_1,DRL,TD3_00396_500,2.5,5.0,5.59,True,,6.088,6.077,0.172,11.816,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial061.json,2026-09-09T10:46:54.043886
62,world_1,DRL,TD3_00396_500,3.0,0.0,3.0,True,,2.844,2.833,0.378,5.342,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial062.json,2026-09-09T10:47:03.649783
63,world_1,DRL,TD3_00396_500,3.0,1.5,3.354,True,,3.25,3.239,0.339,6.134,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial063.json,2026-09-09T10:47:16.055614
64,world_1,DRL,TD3_00396_500,3.0,2.0,3.606,True,,3.569,3.559,0.298,6.714,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial064.json,2026-09-09T10:47:27.281497
65,world_1,DRL,TD3_00396_500,3.0,2.5,3.905,True,,3.869,3.858,0.278,7.36,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial065.json,2026-09-09T10:47:38.902865
66,world_1,DRL,TD3_00396_500,3.0,3.0,4.243,True,,4.265,4.254,0.258,7.981,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial066.json,2026-09-09T10:47:51.147846
67,world_1,DRL,TD3_00396_500,3.0,3.5,4.61,True,,4.709,4.698,0.23,8.804,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial067.json,2026-09-09T10:48:04.215844
68,world_1,DRL,TD3_00396_500,3.0,4.0,5.0,True,,5.179,5.168,0.204,9.831,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial068.json,2026-09-09T10:48:19.562250
69,world_1,DRL,TD3_00396_500,3.0,4.5,5.408,True,,6.439,6.428,0.169,12.082,0.182,trial_results/timeseries/world_1_TD3_00396_500_trial069.json,2026-09-09T10:48:37.113355
70,world_1,DRL,TD3_00396_500,3.0,5.0,5.831,True,,6.461,6.451,0.167,12.061,0.2,trial_results/timeseries/world_1_TD3_00396_500_trial070.json,2026-09-09T10:48:53.499504
71,world_1,DRL,TD3_00396_500,3.5,0.0,3.5,True,,3.351,3.34,0.326,6.275,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial071.json,2026-09-09T10:49:05.298476
72,world_1,DRL,TD3_00396_500,3.5,0.5,3.536,True,,5.179,5.168,0.204,9.672,0.2,trial_results/timeseries/world_1_TD3_00396_500_trial072.json,2026-09-09T10:49:20.285748
73,world_1,DRL,TD3_00396_500,3.5,1.0,3.64,True,,4.536,4.525,0.244,8.481,0.196,trial_results/timeseries/world_1_TD3_00396_500_trial073.json,2026-09-09T10:49:33.029240
74,world_1,DRL,TD3_00396_500,3.5,1.5,3.808,True,,3.873,3.862,0.272,7.377,0.196,trial_results/timeseries/world_1_TD3_00396_500_trial074.json,2026-09-09T10:49:47.468124
75,world_1,DRL,TD3_00396_500,3.5,2.0,4.031,True,,3.951,3.94,0.267,7.699,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial075.json,2026-09-09T10:49:59.631101
76,world_1,DRL,TD3_00396_500,3.5,2.5,4.301,True,,4.232,4.221,0.254,7.941,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial076.json,2026-09-09T10:50:11.844457
77,world_1,DRL,TD3_00396_500,3.5,3.0,4.61,True,,4.576,4.566,0.238,8.604,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial077.json,2026-09-09T10:50:25.713009
78,world_1,DRL,TD3_00396_500,3.5,4.5,5.701,True,,6.032,6.021,0.183,11.358,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial078.json,2026-09-09T10:50:41.532813
79,world_1,DRL,TD3_00396_500,3.5,5.0,6.103,True,,6.311,6.3,0.176,11.916,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial079.json,2026-09-09T10:50:58.412438
80,world_1,DRL,TD3_00396_500,3.5,5.5,6.519,True,,7.182,7.17,0.154,13.405,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial080.json,2026-09-09T10:51:17.088174
81,world_1,DRL,TD3_00396_500,3.5,6.0,6.946,True,,7.551,7.541,0.143,15.013,0.196,trial_results/timeseries/world_1_TD3_00396_500_trial081.json,2026-09-09T10:51:36.364733
82,world_1,DRL,TD3_00396_500,4.0,0.0,4.0,True,,3.865,3.854,0.276,7.383,0.196,trial_results/timeseries/world_1_TD3_00396_500_trial082.json,2026-09-09T10:51:48.012113
83,world_1,DRL,TD3_00396_500,4.0,0.5,4.031,True,,5.224,5.214,0.202,9.772,0.193,trial_results/timeseries/world_1_TD3_00396_500_trial083.json,2026-09-09T10:52:02.054941
84,world_1,DRL,TD3_00396_500,4.0,1.0,4.123,True,,4.738,4.727,0.228,8.863,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial084.json,2026-09-09T10:52:16.186562
85,world_1,DRL,TD3_00396_500,4.0,1.5,4.272,True,,4.437,4.437,0.0,8.38,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial085.json,2026-09-09T10:52:28.834168
86,world_1,DRL,TD3_00396_500,4.0,2.0,4.472,True,,4.376,4.365,0.241,8.182,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial086.json,2026-09-09T10:52:42.305987
87,world_1,DRL,TD3_00396_500,4.0,2.5,4.717,True,,4.632,4.622,0.229,9.069,0.182,trial_results/timeseries/world_1_TD3_00396_500_trial087.json,2026-09-09T10:52:56.639130
88,world_1,DRL,TD3_00396_500,4.0,3.0,5.0,True,,4.925,4.915,0.22,9.307,0.197,trial_results/timeseries/world_1_TD3_00396_500_trial088.json,2026-09-09T10:53:10.787612
89,world_1,DRL,TD3_00396_500,4.0,4.0,5.657,True,,13.842,13.831,0.079,25.948,0.196,trial_results/timeseries/world_1_TD3_00396_500_trial089.json,2026-09-09T10:53:41.075520
90,world_1,DRL,TD3_00396_500,4.0,4.5,6.021,True,,6.442,6.431,0.168,12.018,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial090.json,2026-09-09T10:53:57.585302
91,world_1,DRL,TD3_00396_500,4.0,5.0,6.403,True,,6.637,6.626,0.163,12.38,0.198,trial_results/timeseries/world_1_TD3_00396_500_trial091.json,2026-09-09T10:54:14.231685
92,world_1,DRL,TD3_00396_500,4.0,5.5,6.801,True,,7.009,6.998,0.157,13.105,0.19,trial_results/timeseries/world_1_TD3_00396_500_trial092.json,2026-09-09T10:54:32.617259
93,world_1,DRL,TD3_00396_500,4.0,6.0,7.211,True,,8.006,7.995,0.138,16.044,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial093.json,2026-09-09T10:54:53.930004
94,world_1,DRL,TD3_00396_500,4.5,0.0,4.5,True,,6.19,6.179,0.174,12.16,0.19,trial_results/timeseries/world_1_TD3_00396_500_trial094.json,2026-09-09T10:55:10.358998
95,world_1,DRL,TD3_00396_500,4.5,0.5,4.528,True,,5.535,5.525,0.195,10.349,0.195,trial_results/timeseries/world_1_TD3_00396_500_trial095.json,2026-09-09T10:55:25.972160
96,world_1,DRL,TD3_00396_500,4.5,1.0,4.61,True,,5.206,5.183,0.425,9.71,0.179,trial_results/timeseries/world_1_TD3_00396_500_trial096.json,2026-09-09T10:55:39.946893
97,world_1,DRL,TD3_00396_500,4.5,1.5,4.743,True,,4.826,4.816,0.223,9.04,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial097.json,2026-09-09T10:55:53.300069
98,world_1,DRL,TD3_00396_500,4.5,2.0,4.924,True,,4.891,4.881,0.219,9.247,0.19,trial_results/timeseries/world_1_TD3_00396_500_trial098.json,2026-09-09T10:56:07.810679
99,world_1,DRL,TD3_00396_500,4.5,2.5,5.148,True,,5.041,5.03,0.212,9.426,0.192,trial_results/timeseries/world_1_TD3_00396_500_trial099.json,2026-09-09T10:56:21.588430
100,world_1,DRL,TD3_00396_500,4.5,3.0,5.408,True,,5.326,5.305,0.406,10.07,0.181,trial_results/timeseries/world_1_TD3_00396_500_trial100.json,2026-09-09T10:56:35.926514
101,world_1,DRL,TD3_00396_500,4.5,3.5,5.701,True,,5.644,5.633,0.192,10.59,0.191,trial_results/timeseries/world_1_TD3_00396_500_trial101.json,2026-09-09T10:56:51.786680
102,world_1,DRL,TD3_00396_500,4.5,4.0,6.021,True,,6.094,6.083,0.181,11.378,0.194,trial_results/timeseries/world_1_TD3_00396_500_trial102.json,2026-09-09T10:57:07.432446
