trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00388_900,0.0,0.5,0.5,True,,0.913,0.906,0.803,4.2,0.196,trial_results/timeseries/world_1_TD3_00388_900_trial000.json,2026-08-31T22:53:09.173614
1,world_1,DRL,TD3_00388_900,0.0,1.0,1.0,True,,1.291,1.28,0.836,4.523,0.196,trial_results/timeseries/world_1_TD3_00388_900_trial001.json,2026-08-31T22:53:17.962695
2,world_1,DRL,TD3_00388_900,0.0,1.5,1.5,True,,1.9,1.9,0.0,5.911,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial002.json,2026-08-31T22:53:28.131451
3,world_1,DRL,TD3_00388_900,0.0,2.0,2.0,True,,2.662,2.651,0.409,7.782,0.199,trial_results/timeseries/world_1_TD3_00388_900_trial003.json,2026-08-31T22:53:40.181347
4,world_1,DRL,TD3_00388_900,0.0,2.5,2.5,True,,3.287,3.276,0.332,9.028,0.195,trial_results/timeseries/world_1_TD3_00388_900_trial004.json,2026-08-31T22:53:53.470115
5,world_1,DRL,TD3_00388_900,0.0,4.0,4.0,True,,6.414,6.406,0.117,14.913,0.199,trial_results/timeseries/world_1_TD3_00388_900_trial005.json,2026-08-31T22:54:13.652521
6,world_1,DRL,TD3_00388_900,0.0,5.5,5.5,True,,6.635,6.624,0.162,17.346,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial006.json,2026-08-31T22:54:35.268057
7,world_1,DRL,TD3_00388_900,0.0,6.0,6.0,True,,7.122,7.111,0.154,18.73,0.197,trial_results/timeseries/world_1_TD3_00388_900_trial007.json,2026-08-31T22:54:58.270727
8,world_1,DRL,TD3_00388_900,0.5,0.5,0.707,True,,0.783,0.78,0.317,2.996,0.2,trial_results/timeseries/world_1_TD3_00388_900_trial008.json,2026-08-31T22:55:05.540572
9,world_1,DRL,TD3_00388_900,0.5,1.5,1.581,True,,2.902,2.895,0.227,11.057,0.2,trial_results/timeseries/world_1_TD3_00388_900_trial009.json,2026-08-31T22:55:22.110801
10,world_1,DRL,TD3_00388_900,0.5,2.0,2.062,True,,3.117,3.106,0.351,9.09,0.192,trial_results/timeseries/world_1_TD3_00388_900_trial010.json,2026-08-31T22:55:35.714621
11,world_1,DRL,TD3_00388_900,0.5,2.5,2.55,True,,4.336,4.326,0.249,10.681,0.192,trial_results/timeseries/world_1_TD3_00388_900_trial011.json,2026-08-31T22:55:50.711068
12,world_1,DRL,TD3_00388_900,0.5,3.0,3.041,True,,4.744,4.733,0.228,11.234,0.198,trial_results/timeseries/world_1_TD3_00388_900_trial012.json,2026-08-31T22:56:07.211062
13,world_1,DRL,TD3_00388_900,0.5,3.5,3.536,True,,5.205,5.195,0.205,12.06,0.192,trial_results/timeseries/world_1_TD3_00388_900_trial013.json,2026-08-31T22:56:24.532446
14,world_1,DRL,TD3_00388_900,0.5,4.0,4.031,True,,5.678,5.667,0.188,12.821,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial014.json,2026-08-31T22:56:41.618997
15,world_1,DRL,TD3_00388_900,0.5,5.5,5.523,True,,7.276,7.265,0.149,19.597,0.189,trial_results/timeseries/world_1_TD3_00388_900_trial015.json,2026-08-31T22:57:05.495390
16,world_1,DRL,TD3_00388_900,0.5,6.0,6.021,True,,7.525,7.515,0.144,19.853,0.197,trial_results/timeseries/world_1_TD3_00388_900_trial016.json,2026-08-31T22:57:29.620864
17,world_1,DRL,TD3_00388_900,1.0,0.0,1.0,True,,0.811,0.8,1.325,1.711,0.191,trial_results/timeseries/world_1_TD3_00388_900_trial017.json,2026-08-31T22:57:35.608667
18,world_1,DRL,TD3_00388_900,1.0,0.5,1.118,True,,0.959,0.948,1.123,2.013,0.191,trial_results/timeseries/world_1_TD3_00388_900_trial018.json,2026-08-31T22:57:43.128991
19,world_1,DRL,TD3_00388_900,1.0,1.5,1.803,False,"Obstacle hit, mission aborted.",0.968,0.96,0.818,3.439,1.088,trial_results/timeseries/world_1_TD3_00388_900_trial019.json,2026-08-31T22:57:51.855267
20,world_1,DRL,TD3_00388_900,1.0,2.0,2.236,True,,3.641,3.63,0.295,9.809,0.19,trial_results/timeseries/world_1_TD3_00388_900_trial020.json,2026-08-31T22:58:07.721823
21,world_1,DRL,TD3_00388_900,1.0,2.5,2.693,True,,4.105,4.094,0.261,10.39,0.191,trial_results/timeseries/world_1_TD3_00388_900_trial021.json,2026-08-31T22:58:22.371008
22,world_1,DRL,TD3_00388_900,1.0,3.0,3.162,True,,4.558,4.548,0.233,11.016,0.2,trial_results/timeseries/world_1_TD3_00388_900_trial022.json,2026-08-31T22:58:38.649517
23,world_1,DRL,TD3_00388_900,1.0,3.5,3.64,True,,5.087,5.076,0.209,12.058,0.195,trial_results/timeseries/world_1_TD3_00388_900_trial023.json,2026-08-31T22:58:55.976747
24,world_1,DRL,TD3_00388_900,1.0,4.0,4.123,True,,5.619,5.608,0.189,12.92,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial024.json,2026-08-31T22:59:14.214063
25,world_1,DRL,TD3_00388_900,1.0,4.5,4.61,True,,6.209,6.198,0.172,14.385,0.192,trial_results/timeseries/world_1_TD3_00388_900_trial025.json,2026-08-31T22:59:32.871425
26,world_1,DRL,TD3_00388_900,1.0,5.0,5.099,True,,6.731,6.72,0.159,15.453,0.197,trial_results/timeseries/world_1_TD3_00388_900_trial026.json,2026-08-31T22:59:52.590307
27,world_1,DRL,TD3_00388_900,1.0,5.5,5.59,True,,7.225,7.214,0.148,16.419,0.196,trial_results/timeseries/world_1_TD3_00388_900_trial027.json,2026-08-31T23:00:13.279162
28,world_1,DRL,TD3_00388_900,1.0,6.0,6.083,True,,7.733,7.723,0.139,17.105,0.19,trial_results/timeseries/world_1_TD3_00388_900_trial028.json,2026-08-31T23:00:37.453033
29,world_1,DRL,TD3_00388_900,1.5,0.0,1.5,True,,1.313,1.302,0.823,2.656,0.192,trial_results/timeseries/world_1_TD3_00388_900_trial029.json,2026-08-31T23:00:44.380267
30,world_1,DRL,TD3_00388_900,1.5,0.5,1.581,True,,1.397,1.386,0.763,2.817,0.2,trial_results/timeseries/world_1_TD3_00388_900_trial030.json,2026-08-31T23:00:51.457365
31,world_1,DRL,TD3_00388_900,1.5,1.0,1.803,True,,1.765,1.755,0.561,3.619,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial031.json,2026-08-31T23:00:59.338781
32,world_1,DRL,TD3_00388_900,1.5,1.5,2.121,True,,2.775,2.764,0.388,6.713,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial032.json,2026-08-31T23:01:11.311800
33,world_1,DRL,TD3_00388_900,1.5,2.0,2.5,True,,3.397,3.386,0.315,8.742,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial033.json,2026-08-31T23:01:25.565071
34,world_1,DRL,TD3_00388_900,1.5,2.5,2.915,True,,3.998,3.987,0.27,10.188,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial034.json,2026-08-31T23:01:41.016156
35,world_1,DRL,TD3_00388_900,1.5,3.0,3.354,True,,4.571,4.56,0.233,11.313,0.197,trial_results/timeseries/world_1_TD3_00388_900_trial035.json,2026-08-31T23:01:56.591591
36,world_1,DRL,TD3_00388_900,1.5,3.5,3.808,True,,5.239,5.229,0.208,12.601,0.199,trial_results/timeseries/world_1_TD3_00388_900_trial036.json,2026-08-31T23:02:13.464658
37,world_1,DRL,TD3_00388_900,1.5,4.0,4.272,True,,5.96,5.949,0.182,14.046,0.191,trial_results/timeseries/world_1_TD3_00388_900_trial037.json,2026-08-31T23:02:31.780559
38,world_1,DRL,TD3_00388_900,1.5,4.5,4.743,True,,6.439,6.428,0.17,14.991,0.193,trial_results/timeseries/world_1_TD3_00388_900_trial038.json,2026-08-31T23:02:51.033477
39,world_1,DRL,TD3_00388_900,1.5,5.0,5.22,True,,6.896,6.885,0.158,15.897,0.191,trial_results/timeseries/world_1_TD3_00388_900_trial039.json,2026-08-31T23:03:11.196842
40,world_1,DRL,TD3_00388_900,1.5,5.5,5.701,True,,7.41,7.4,0.146,16.977,0.196,trial_results/timeseries/world_1_TD3_00388_900_trial040.json,2026-08-31T23:03:33.475347
41,world_1,DRL,TD3_00388_900,1.5,6.0,6.185,True,,7.853,7.842,0.138,17.785,0.2,trial_results/timeseries/world_1_TD3_00388_900_trial041.json,2026-08-31T23:03:55.533082
42,world_1,DRL,TD3_00388_900,2.0,0.0,2.0,True,,1.824,1.813,0.588,3.6,0.19,trial_results/timeseries/world_1_TD3_00388_900_trial042.json,2026-08-31T23:04:03.405904
43,world_1,DRL,TD3_00388_900,2.0,0.5,2.062,True,,1.905,1.894,0.558,3.759,0.198,trial_results/timeseries/world_1_TD3_00388_900_trial043.json,2026-08-31T23:04:11.419243
44,world_1,DRL,TD3_00388_900,2.0,1.0,2.236,True,,2.149,2.138,0.503,4.223,0.189,trial_results/timeseries/world_1_TD3_00388_900_trial044.json,2026-08-31T23:04:19.907245
45,world_1,DRL,TD3_00388_900,2.0,1.5,2.5,True,,2.535,2.525,0.431,5.007,0.194,trial_results/timeseries/world_1_TD3_00388_900_trial045.json,2026-08-31T23:04:29.169800
46,world_1,DRL,TD3_00388_900,2.0,2.0,2.828,True,,3.204,3.194,0.336,7.175,0.197,trial_results/timeseries/world_1_TD3_00388_900_trial046.json,2026-08-31T23:04:41.698270
47,world_1,DRL,TD3_00388_900,2.0,3.5,4.031,True,,6.029,6.018,0.179,15.634,0.197,trial_results/timeseries/world_1_TD3_00388_900_trial047.json,2026-08-31T23:05:01.595895
48,world_1,DRL,TD3_00388_900,2.0,4.0,4.472,True,,6.332,6.321,0.17,14.767,0.198,trial_results/timeseries/world_1_TD3_00388_900_trial048.json,2026-08-31T23:05:20.631999
49,world_1,DRL,TD3_00388_900,2.0,4.5,4.924,True,,6.768,6.757,0.161,15.595,0.189,trial_results/timeseries/world_1_TD3_00388_900_trial049.json,2026-08-31T23:05:40.498922
50,world_1,DRL,TD3_00388_900,2.0,5.0,5.385,True,,7.231,7.22,0.152,16.48,0.189,trial_results/timeseries/world_1_TD3_00388_900_trial050.json,2026-08-31T23:06:01.447924
51,world_1,DRL,TD3_00388_900,2.0,5.5,5.852,True,,7.665,7.654,0.142,17.481,0.198,trial_results/timeseries/world_1_TD3_00388_900_trial051.json,2026-08-31T23:06:23.195727
52,world_1,DRL,TD3_00388_900,2.0,6.0,6.325,True,,8.252,8.241,0.131,19.009,0.195,trial_results/timeseries/world_1_TD3_00388_900_trial052.json,2026-08-31T23:06:47.558662
53,world_1,DRL,TD3_00388_900,2.5,0.0,2.5,True,,2.325,2.314,0.463,4.524,0.191,trial_results/timeseries/world_1_TD3_00388_900_trial053.json,2026-08-31T23:06:56.350042
