trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00386_900,0.0,0.5,0.5,True,,0.739,0.734,0.655,4.745,0.2,trial_results/timeseries/world_1_TD3_00386_900_trial000.json,2026-09-01T21:59:47.275015
1,world_1,DRL,TD3_00386_900,0.0,1.0,1.0,True,,1.217,1.206,0.892,5.025,0.193,trial_results/timeseries/world_1_TD3_00386_900_trial001.json,2026-09-01T21:59:57.567888
2,world_1,DRL,TD3_00386_900,0.0,1.5,1.5,False,Goal timeout after 90.0s,2.131,2.131,0.005,90.022,0.247,trial_results/timeseries/world_1_TD3_00386_900_trial002.json,2026-09-01T22:01:32.854508
3,world_1,DRL,TD3_00386_900,0.0,2.0,2.0,True,,2.518,2.507,0.425,7.738,0.192,trial_results/timeseries/world_1_TD3_00386_900_trial003.json,2026-09-01T22:01:44.968726
4,world_1,DRL,TD3_00386_900,0.0,2.5,2.5,True,,3.132,3.122,0.343,9.144,0.199,trial_results/timeseries/world_1_TD3_00386_900_trial004.json,2026-09-01T22:01:59.388663
5,world_1,DRL,TD3_00386_900,0.0,4.0,4.0,False,Goal timeout after 90.0s,4.677,4.675,0.036,90.003,1.391,trial_results/timeseries/world_1_TD3_00386_900_trial005.json,2026-09-01T22:03:33.657390
6,world_1,DRL,TD3_00386_900,0.0,5.5,5.5,False,Goal timeout after 90.0s,6.328,6.328,0.003,90.009,1.335,trial_results/timeseries/world_1_TD3_00386_900_trial006.json,2026-09-01T22:05:09.202509
7,world_1,DRL,TD3_00386_900,0.0,6.0,6.0,False,"Obstacle hit, mission aborted.",6.301,6.3,0.021,13.527,1.813,trial_results/timeseries/world_1_TD3_00386_900_trial007.json,2026-09-01T22:05:28.059788
8,world_1,DRL,TD3_00386_900,0.5,0.5,0.707,True,,0.638,0.635,0.434,3.683,0.196,trial_results/timeseries/world_1_TD3_00386_900_trial008.json,2026-09-01T22:05:37.065051
9,world_1,DRL,TD3_00386_900,0.5,1.5,1.581,False,Goal timeout after 90.0s,2.302,2.301,0.01,90.021,0.467,trial_results/timeseries/world_1_TD3_00386_900_trial009.json,2026-09-01T22:07:11.367550
10,world_1,DRL,TD3_00386_900,0.5,2.0,2.062,False,Goal timeout after 90.0s,3.199,3.198,0.025,90.016,0.297,trial_results/timeseries/world_1_TD3_00386_900_trial010.json,2026-09-01T22:08:47.396462
11,world_1,DRL,TD3_00386_900,0.5,2.5,2.55,True,,3.996,3.985,0.27,11.98,0.198,trial_results/timeseries/world_1_TD3_00386_900_trial011.json,2026-09-01T22:09:03.983615
12,world_1,DRL,TD3_00386_900,0.5,3.0,3.041,False,"Obstacle hit, mission aborted.",3.804,3.793,0.283,10.934,0.325,trial_results/timeseries/world_1_TD3_00386_900_trial012.json,2026-09-01T22:09:20.433801
13,world_1,DRL,TD3_00386_900,0.5,3.5,3.536,False,Goal timeout after 90.0s,3.772,3.769,0.056,90.039,1.054,trial_results/timeseries/world_1_TD3_00386_900_trial013.json,2026-09-01T22:10:54.744084
14,world_1,DRL,TD3_00386_900,0.5,4.0,4.031,False,"Obstacle hit, mission aborted.",3.921,3.921,0.001,15.238,1.448,trial_results/timeseries/world_1_TD3_00386_900_trial014.json,2026-09-01T22:11:14.310664
15,world_1,DRL,TD3_00386_900,0.5,5.5,5.523,False,Goal timeout after 90.0s,6.424,6.423,0.007,90.014,1.256,trial_results/timeseries/world_1_TD3_00386_900_trial015.json,2026-09-01T22:12:48.595442
16,world_1,DRL,TD3_00386_900,0.5,6.0,6.021,False,Goal timeout after 90.0s,6.432,6.431,0.021,90.021,1.644,trial_results/timeseries/world_1_TD3_00386_900_trial016.json,2026-09-01T22:14:23.222194
17,world_1,DRL,TD3_00386_900,1.0,0.0,1.0,True,,0.804,0.804,0.0,1.71,0.196,trial_results/timeseries/world_1_TD3_00386_900_trial017.json,2026-09-01T22:14:30.271163
18,world_1,DRL,TD3_00386_900,1.0,0.5,1.118,True,,0.973,0.965,0.917,2.053,0.192,trial_results/timeseries/world_1_TD3_00386_900_trial018.json,2026-09-01T22:14:36.594027
19,world_1,DRL,TD3_00386_900,1.0,1.5,1.803,False,Goal timeout after 90.0s,0.934,0.934,0.034,90.018,1.266,trial_results/timeseries/world_1_TD3_00386_900_trial019.json,2026-09-01T22:16:11.871095
20,world_1,DRL,TD3_00386_900,1.0,2.0,2.236,False,Goal timeout after 90.0s,0.825,0.822,0.323,90.005,1.732,trial_results/timeseries/world_1_TD3_00386_900_trial020.json,2026-09-01T22:17:46.455198
21,world_1,DRL,TD3_00386_900,1.0,2.5,2.693,True,,3.736,3.725,0.288,13.102,0.194,trial_results/timeseries/world_1_TD3_00386_900_trial021.json,2026-09-01T22:18:04.885886
22,world_1,DRL,TD3_00386_900,1.0,3.0,3.162,True,,4.272,4.262,0.253,11.859,0.195,trial_results/timeseries/world_1_TD3_00386_900_trial022.json,2026-09-01T22:18:22.208957
23,world_1,DRL,TD3_00386_900,1.0,3.5,3.64,True,,4.828,4.817,0.224,12.742,0.192,trial_results/timeseries/world_1_TD3_00386_900_trial023.json,2026-09-01T22:18:39.219507
24,world_1,DRL,TD3_00386_900,1.0,4.0,4.123,True,,5.435,5.424,0.199,16.699,0.19,trial_results/timeseries/world_1_TD3_00386_900_trial024.json,2026-09-01T22:19:00.194823
25,world_1,DRL,TD3_00386_900,1.0,4.5,4.61,False,Goal timeout after 90.0s,3.892,3.892,0.003,90.017,2.111,trial_results/timeseries/world_1_TD3_00386_900_trial025.json,2026-09-01T22:20:35.480943
26,world_1,DRL,TD3_00386_900,1.0,5.0,5.099,False,Goal timeout after 90.0s,3.907,3.906,0.003,90.011,2.616,trial_results/timeseries/world_1_TD3_00386_900_trial026.json,2026-09-01T22:22:09.815376
27,world_1,DRL,TD3_00386_900,1.0,5.5,5.59,True,,7.326,7.315,0.147,15.334,0.195,trial_results/timeseries/world_1_TD3_00386_900_trial027.json,2026-09-01T22:22:29.683166
28,world_1,DRL,TD3_00386_900,1.0,6.0,6.083,True,,7.889,7.879,0.136,16.196,0.19,trial_results/timeseries/world_1_TD3_00386_900_trial028.json,2026-09-01T22:22:51.162079
29,world_1,DRL,TD3_00386_900,1.5,0.0,1.5,True,,1.311,1.3,0.822,2.636,0.191,trial_results/timeseries/world_1_TD3_00386_900_trial029.json,2026-09-01T22:22:58.069014
30,world_1,DRL,TD3_00386_900,1.5,0.5,1.581,True,,1.404,1.393,0.763,2.835,0.192,trial_results/timeseries/world_1_TD3_00386_900_trial030.json,2026-09-01T22:23:06.163783
31,world_1,DRL,TD3_00386_900,1.5,1.0,1.803,False,Goal timeout after 90.0s,0.708,0.708,0.038,90.017,1.152,trial_results/timeseries/world_1_TD3_00386_900_trial031.json,2026-09-01T22:24:40.695438
32,world_1,DRL,TD3_00386_900,1.5,1.5,2.121,False,Goal timeout after 90.0s,0.716,0.715,0.054,90.017,1.519,trial_results/timeseries/world_1_TD3_00386_900_trial032.json,2026-09-01T22:26:15.302737
33,world_1,DRL,TD3_00386_900,1.5,2.0,2.5,False,Goal timeout after 90.0s,0.751,0.75,0.029,90.022,1.959,trial_results/timeseries/world_1_TD3_00386_900_trial033.json,2026-09-01T22:27:49.645784
34,world_1,DRL,TD3_00386_900,1.5,2.5,2.915,False,Goal timeout after 90.0s,0.883,0.881,0.307,90.019,2.295,trial_results/timeseries/world_1_TD3_00386_900_trial034.json,2026-09-01T22:29:23.988594
35,world_1,DRL,TD3_00386_900,1.5,3.0,3.354,True,,4.762,4.751,0.226,14.566,0.192,trial_results/timeseries/world_1_TD3_00386_900_trial035.json,2026-09-01T22:29:43.179008
