trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00388_1000,0.0,0.5,0.5,True,,0.708,0.702,0.808,3.721,0.198,trial_results/timeseries/world_1_TD3_00388_1000_trial000.json,2026-08-31T08:44:51.949399
1,world_1,DRL,TD3_00388_1000,0.0,1.0,1.0,False,"Obstacle hit, mission aborted.",0.849,0.838,1.24,3.322,0.529,trial_results/timeseries/world_1_TD3_00388_1000_trial001.json,2026-08-31T08:44:59.579812
2,world_1,DRL,TD3_00388_1000,0.0,1.5,1.5,True,,4.887,4.876,0.22,17.348,0.198,trial_results/timeseries/world_1_TD3_00388_1000_trial002.json,2026-08-31T08:45:22.188858
3,world_1,DRL,TD3_00388_1000,0.0,2.0,2.0,True,,4.295,4.284,0.251,12.14,0.197,trial_results/timeseries/world_1_TD3_00388_1000_trial003.json,2026-08-31T08:45:38.850764
4,world_1,DRL,TD3_00388_1000,0.0,2.5,2.5,True,,4.653,4.642,0.232,11.598,0.195,trial_results/timeseries/world_1_TD3_00388_1000_trial004.json,2026-08-31T08:45:54.709984
5,world_1,DRL,TD3_00388_1000,0.0,4.0,4.0,True,,6.645,6.639,0.083,15.823,0.2,trial_results/timeseries/world_1_TD3_00388_1000_trial005.json,2026-08-31T08:46:15.831550
6,world_1,DRL,TD3_00388_1000,0.0,5.5,5.5,True,,8.609,8.599,0.124,21.523,0.196,trial_results/timeseries/world_1_TD3_00388_1000_trial006.json,2026-08-31T08:46:42.623081
7,world_1,DRL,TD3_00388_1000,0.0,6.0,6.0,True,,8.794,8.783,0.123,20.063,0.19,trial_results/timeseries/world_1_TD3_00388_1000_trial007.json,2026-08-31T08:47:07.009620
8,world_1,DRL,TD3_00388_1000,0.5,0.5,0.707,True,,0.654,0.648,0.979,1.832,0.199,trial_results/timeseries/world_1_TD3_00388_1000_trial008.json,2026-08-31T08:47:14.118004
9,world_1,DRL,TD3_00388_1000,0.5,1.5,1.581,True,,4.717,4.706,0.23,18.326,0.19,trial_results/timeseries/world_1_TD3_00388_1000_trial009.json,2026-08-31T08:47:36.903245
10,world_1,DRL,TD3_00388_1000,0.5,2.0,2.062,True,,3.768,3.757,0.286,10.91,0.199,trial_results/timeseries/world_1_TD3_00388_1000_trial010.json,2026-08-31T08:47:53.087348
11,world_1,DRL,TD3_00388_1000,0.5,2.5,2.55,True,,4.237,4.226,0.254,10.53,0.198,trial_results/timeseries/world_1_TD3_00388_1000_trial011.json,2026-08-31T08:48:08.892971
12,world_1,DRL,TD3_00388_1000,0.5,3.0,3.041,True,,4.708,4.708,0.0,10.83,0.198,trial_results/timeseries/world_1_TD3_00388_1000_trial012.json,2026-08-31T08:48:23.989862
13,world_1,DRL,TD3_00388_1000,0.5,3.5,3.536,True,,5.173,5.165,0.157,11.514,0.199,trial_results/timeseries/world_1_TD3_00388_1000_trial013.json,2026-08-31T08:48:40.771470
14,world_1,DRL,TD3_00388_1000,0.5,4.0,4.031,True,,5.595,5.584,0.192,12.076,0.191,trial_results/timeseries/world_1_TD3_00388_1000_trial014.json,2026-08-31T08:48:58.139310
15,world_1,DRL,TD3_00388_1000,0.5,5.5,5.523,True,,7.907,7.9,0.088,17.585,0.199,trial_results/timeseries/world_1_TD3_00388_1000_trial015.json,2026-08-31T08:49:19.995113
16,world_1,DRL,TD3_00388_1000,0.5,6.0,6.021,True,,7.819,7.808,0.138,16.014,0.195,trial_results/timeseries/world_1_TD3_00388_1000_trial016.json,2026-08-31T08:49:41.277575
17,world_1,DRL,TD3_00388_1000,1.0,0.0,1.0,True,,0.805,0.794,1.337,1.712,0.196,trial_results/timeseries/world_1_TD3_00388_1000_trial017.json,2026-08-31T08:49:47.259113
18,world_1,DRL,TD3_00388_1000,1.0,0.5,1.118,True,,0.964,0.953,1.117,2.014,0.186,trial_results/timeseries/world_1_TD3_00388_1000_trial018.json,2026-08-31T08:49:54.536011
19,world_1,DRL,TD3_00388_1000,1.0,1.5,1.803,True,,3.082,3.072,0.317,10.089,0.195,trial_results/timeseries/world_1_TD3_00388_1000_trial019.json,2026-08-31T08:50:08.883816
20,world_1,DRL,TD3_00388_1000,1.0,2.0,2.236,True,,3.535,3.524,0.305,9.929,0.197,trial_results/timeseries/world_1_TD3_00388_1000_trial020.json,2026-08-31T08:50:23.579370
21,world_1,DRL,TD3_00388_1000,1.0,2.5,2.693,True,,4.012,4.001,0.269,9.866,0.194,trial_results/timeseries/world_1_TD3_00388_1000_trial021.json,2026-08-31T08:50:38.715182
22,world_1,DRL,TD3_00388_1000,1.0,3.0,3.162,True,,4.405,4.394,0.245,9.968,0.196,trial_results/timeseries/world_1_TD3_00388_1000_trial022.json,2026-08-31T08:50:53.950787
23,world_1,DRL,TD3_00388_1000,1.0,3.5,3.64,True,,4.879,4.868,0.221,10.368,0.196,trial_results/timeseries/world_1_TD3_00388_1000_trial023.json,2026-08-31T08:51:09.784122
24,world_1,DRL,TD3_00388_1000,1.0,4.0,4.123,True,,5.44,5.44,0.0,11.174,0.197,trial_results/timeseries/world_1_TD3_00388_1000_trial024.json,2026-08-31T08:51:25.279640
25,world_1,DRL,TD3_00388_1000,1.0,4.5,4.61,True,,5.928,5.917,0.181,12.017,0.191,trial_results/timeseries/world_1_TD3_00388_1000_trial025.json,2026-08-31T08:51:41.760071
26,world_1,DRL,TD3_00388_1000,1.0,5.0,5.099,True,,6.405,6.394,0.167,12.824,0.19,trial_results/timeseries/world_1_TD3_00388_1000_trial026.json,2026-08-31T08:51:58.943611
27,world_1,DRL,TD3_00388_1000,1.0,5.5,5.59,True,,6.911,6.89,0.31,13.668,0.187,trial_results/timeseries/world_1_TD3_00388_1000_trial027.json,2026-08-31T08:52:16.882968
28,world_1,DRL,TD3_00388_1000,1.0,6.0,6.083,True,,7.387,7.376,0.146,14.528,0.194,trial_results/timeseries/world_1_TD3_00388_1000_trial028.json,2026-08-31T08:52:35.679614
29,world_1,DRL,TD3_00388_1000,1.5,0.0,1.5,True,,1.308,1.297,0.823,2.635,0.193,trial_results/timeseries/world_1_TD3_00388_1000_trial029.json,2026-08-31T08:52:43.613423
30,world_1,DRL,TD3_00388_1000,1.5,0.5,1.581,True,,1.396,1.385,0.765,2.817,0.198,trial_results/timeseries/world_1_TD3_00388_1000_trial030.json,2026-08-31T08:52:50.692738
31,world_1,DRL,TD3_00388_1000,1.5,1.0,1.803,True,,2.131,2.129,0.106,5.486,0.199,trial_results/timeseries/world_1_TD3_00388_1000_trial031.json,2026-08-31T08:53:00.433517
32,world_1,DRL,TD3_00388_1000,1.5,1.5,2.121,True,,2.734,2.723,0.391,6.751,0.198,trial_results/timeseries/world_1_TD3_00388_1000_trial032.json,2026-08-31T08:53:11.444987
33,world_1,DRL,TD3_00388_1000,1.5,2.0,2.5,True,,3.253,3.231,0.659,7.938,0.183,trial_results/timeseries/world_1_TD3_00388_1000_trial033.json,2026-08-31T08:53:23.646023
34,world_1,DRL,TD3_00388_1000,1.5,2.5,2.915,True,,3.711,3.7,0.29,8.439,0.193,trial_results/timeseries/world_1_TD3_00388_1000_trial034.json,2026-08-31T08:53:37.353186
35,world_1,DRL,TD3_00388_1000,1.5,3.0,3.354,True,,4.33,4.319,0.251,9.546,0.2,trial_results/timeseries/world_1_TD3_00388_1000_trial035.json,2026-08-31T08:53:51.169844
36,world_1,DRL,TD3_00388_1000,1.5,3.5,3.808,False,"Obstacle hit, mission aborted.",3.976,3.968,0.198,8.802,1.236,trial_results/timeseries/world_1_TD3_00388_1000_trial036.json,2026-08-31T08:54:04.287168
37,world_1,DRL,TD3_00388_1000,1.5,4.0,4.272,True,,5.457,5.446,0.197,11.051,0.196,trial_results/timeseries/world_1_TD3_00388_1000_trial037.json,2026-08-31T08:54:19.601451
38,world_1,DRL,TD3_00388_1000,1.5,4.5,4.743,True,,6.011,6.001,0.18,12.038,0.192,trial_results/timeseries/world_1_TD3_00388_1000_trial038.json,2026-08-31T08:54:35.955053
39,world_1,DRL,TD3_00388_1000,1.5,5.0,5.22,True,,6.484,6.473,0.167,12.843,0.195,trial_results/timeseries/world_1_TD3_00388_1000_trial039.json,2026-08-31T08:54:53.148212
40,world_1,DRL,TD3_00388_1000,1.5,5.5,5.701,True,,7.05,7.04,0.153,13.849,0.193,trial_results/timeseries/world_1_TD3_00388_1000_trial040.json,2026-08-31T08:55:13.058799
41,world_1,DRL,TD3_00388_1000,1.5,6.0,6.185,True,,7.451,7.44,0.145,14.57,0.194,trial_results/timeseries/world_1_TD3_00388_1000_trial041.json,2026-08-31T08:55:31.891240
42,world_1,DRL,TD3_00388_1000,2.0,0.0,2.0,True,,1.804,1.794,0.596,3.56,0.197,trial_results/timeseries/world_1_TD3_00388_1000_trial042.json,2026-08-31T08:55:40.749912
43,world_1,DRL,TD3_00388_1000,2.0,0.5,2.062,True,,1.878,1.867,0.571,3.738,0.191,trial_results/timeseries/world_1_TD3_00388_1000_trial043.json,2026-08-31T08:55:48.743119
