trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00395_1000,0.0,0.5,0.5,True,,3.504,3.501,0.078,11.664,0.2,trial_results/timeseries/world_1_TD3_00395_1000_trial000.json,2026-09-10T14:34:27.008579
1,world_1,DRL,TD3_00395_1000,0.0,1.0,1.0,True,,12.942,12.931,0.083,38.49,0.2,trial_results/timeseries/world_1_TD3_00395_1000_trial001.json,2026-09-10T14:35:10.072974
2,world_1,DRL,TD3_00395_1000,0.0,1.5,1.5,True,,1.969,1.958,0.543,6.112,0.197,trial_results/timeseries/world_1_TD3_00395_1000_trial002.json,2026-09-10T14:35:20.470820
3,world_1,DRL,TD3_00395_1000,0.0,2.0,2.0,True,,2.794,2.783,0.385,7.818,0.194,trial_results/timeseries/world_1_TD3_00395_1000_trial003.json,2026-09-10T14:35:33.605986
4,world_1,DRL,TD3_00395_1000,0.0,2.5,2.5,True,,3.715,3.704,0.29,9.77,0.191,trial_results/timeseries/world_1_TD3_00395_1000_trial004.json,2026-09-10T14:35:47.657307
5,world_1,DRL,TD3_00395_1000,0.0,4.0,4.0,True,,5.716,5.705,0.19,16.643,0.19,trial_results/timeseries/world_1_TD3_00395_1000_trial005.json,2026-09-10T14:36:09.617405
6,world_1,DRL,TD3_00395_1000,0.0,5.5,5.5,True,,6.739,6.728,0.159,18.653,0.191,trial_results/timeseries/world_1_TD3_00395_1000_trial006.json,2026-09-10T14:36:33.789014
7,world_1,DRL,TD3_00395_1000,0.0,6.0,6.0,True,,7.229,7.208,0.298,20.838,0.186,trial_results/timeseries/world_1_TD3_00395_1000_trial007.json,2026-09-10T14:36:59.202035
8,world_1,DRL,TD3_00395_1000,0.5,0.5,0.707,False,"Obstacle hit, mission aborted.",3.693,3.693,0.008,31.872,0.586,trial_results/timeseries/world_1_TD3_00395_1000_trial008.json,2026-09-10T14:37:35.403843
9,world_1,DRL,TD3_00395_1000,0.5,1.5,1.581,False,"Obstacle hit, mission aborted.",5.633,5.63,0.057,22.009,0.204,trial_results/timeseries/world_1_TD3_00395_1000_trial009.json,2026-09-10T14:38:02.753231
10,world_1,DRL,TD3_00395_1000,0.5,2.0,2.062,True,,4.355,4.345,0.248,12.327,0.193,trial_results/timeseries/world_1_TD3_00395_1000_trial010.json,2026-09-10T14:38:19.416870
11,world_1,DRL,TD3_00395_1000,0.5,2.5,2.55,True,,4.68,4.67,0.23,12.427,0.197,trial_results/timeseries/world_1_TD3_00395_1000_trial011.json,2026-09-10T14:38:36.232119
12,world_1,DRL,TD3_00395_1000,0.5,3.0,3.041,True,,5.006,5.0,0.128,12.963,0.199,trial_results/timeseries/world_1_TD3_00395_1000_trial012.json,2026-09-10T14:38:53.516394
13,world_1,DRL,TD3_00395_1000,0.5,3.5,3.536,True,,5.436,5.431,0.087,13.566,0.199,trial_results/timeseries/world_1_TD3_00395_1000_trial013.json,2026-09-10T14:39:12.359950
14,world_1,DRL,TD3_00395_1000,0.5,4.0,4.031,True,,6.899,6.895,0.057,18.39,0.199,trial_results/timeseries/world_1_TD3_00395_1000_trial014.json,2026-09-10T14:39:35.015395
15,world_1,DRL,TD3_00395_1000,0.5,5.5,5.523,False,Goal timeout after 90.0s,4.701,4.7,0.018,90.012,2.703,trial_results/timeseries/world_1_TD3_00395_1000_trial015.json,2026-09-10T14:41:09.507002
16,world_1,DRL,TD3_00395_1000,0.5,6.0,6.021,False,Goal timeout after 90.0s,4.672,4.671,0.017,90.016,3.188,trial_results/timeseries/world_1_TD3_00395_1000_trial016.json,2026-09-10T14:42:43.857888
17,world_1,DRL,TD3_00395_1000,1.0,0.0,1.0,True,,0.803,0.792,1.341,1.692,0.197,trial_results/timeseries/world_1_TD3_00395_1000_trial017.json,2026-09-10T14:42:49.875245
18,world_1,DRL,TD3_00395_1000,1.0,0.5,1.118,True,,0.956,0.945,1.131,2.054,0.199,trial_results/timeseries/world_1_TD3_00395_1000_trial018.json,2026-09-10T14:42:56.192099
19,world_1,DRL,TD3_00395_1000,1.0,1.5,1.803,False,Goal timeout after 90.0s,18.235,18.234,0.002,90.021,0.348,trial_results/timeseries/world_1_TD3_00395_1000_trial019.json,2026-09-10T14:44:30.678699
20,world_1,DRL,TD3_00395_1000,1.0,2.0,2.236,True,,3.934,3.924,0.274,11.421,0.192,trial_results/timeseries/world_1_TD3_00395_1000_trial020.json,2026-09-10T14:44:47.624338
